Exp,Year,Plot,Treatment,Date,Species,Percent.Cover
E244,2008,17,Control,10/15/2008,Schizachyrium scoparium,14
E244,2008,17,Control,10/15/2008,Solidago rigida,3
E244,2008,17,Control,10/15/2008,Stipa spartea,1
E244,2008,18,SoilDrenchFungicide,10/15/2008,Andropogon gerardi,2
E244,2008,18,SoilDrenchFungicide,10/15/2008,Bare ground,29.5
E244,2008,18,SoilDrenchFungicide,10/15/2008,Bouteloua gracilis,12
E244,2008,18,SoilDrenchFungicide,10/15/2008,Coreopsis palmata,0.5
E244,2008,18,SoilDrenchFungicide,10/15/2008,Liatris aspera,12
E244,2008,18,SoilDrenchFungicide,10/15/2008,Lupinus perennis,5
E244,2008,18,SoilDrenchFungicide,10/15/2008,Petalostemum villosum,6
E244,2008,18,SoilDrenchFungicide,10/15/2008,Schizachyrium scoparium,14
E244,2008,18,SoilDrenchFungicide,10/15/2008,Solidago nemoralis,18
E244,2008,18,SoilDrenchFungicide,10/15/2008,Sporobolus sp.,1
E244,2008,19,Insecticide,10/15/2008,Achillea millefolium,4
E244,2008,19,Insecticide,10/15/2008,Andropogon gerardi,1
E244,2008,19,Insecticide,10/15/2008,Bare ground,29
E244,2008,19,Insecticide,10/15/2008,Bouteloua gracilis,18
E244,2008,19,Insecticide,10/15/2008,Lespedeza capitata,4
E244,2008,19,Insecticide,10/15/2008,Liatris aspera,3
E244,2008,19,Insecticide,10/15/2008,Monarda fistulosa,6
E244,2008,19,Insecticide,10/15/2008,Petalostemum purpureum,4
E244,2008,19,Insecticide,10/15/2008,Petalostemum villosum,5
E244,2008,19,Insecticide,10/15/2008,Schizachyrium scoparium,15
E244,2008,19,Insecticide,10/15/2008,Solidago nemoralis,6
E244,2008,19,Insecticide,10/15/2008,Solidago rigida,5
E244,2008,20,AllPesticides,10/15/2008,Baptisia leucantha,12
E244,2008,20,AllPesticides,10/15/2008,Bare ground,24
E244,2008,20,AllPesticides,10/15/2008,Bouteloua gracilis,16
E244,2008,20,AllPesticides,10/15/2008,Coreopsis palmata,1
E244,2008,20,AllPesticides,10/15/2008,Koeleria cristata,2
E244,2008,20,AllPesticides,10/15/2008,Lespedeza capitata,3
E244,2008,20,AllPesticides,10/15/2008,Liatris aspera,1
E244,2008,20,AllPesticides,10/15/2008,Lupinus perennis,2
E244,2008,20,AllPesticides,10/15/2008,Petalostemum purpureum,14
E244,2008,20,AllPesticides,10/15/2008,Petalostemum villosum,4
E244,2008,20,AllPesticides,10/15/2008,Schizachyrium scoparium,15
E244,2008,20,AllPesticides,10/15/2008,Solidago nemoralis,4
E244,2008,20,AllPesticides,10/15/2008,Trifolium sp.,2
E244,2008,21,FoliarFungicide,10/15/2008,Andropogon gerardi,10
E244,2008,21,FoliarFungicide,10/15/2008,Bare ground,28
E244,2008,21,FoliarFungicide,10/15/2008,Lespedeza capitata,4
E244,2008,21,FoliarFungicide,10/15/2008,Liatris aspera,6
E244,2008,21,FoliarFungicide,10/15/2008,Lupinus perennis,8
E244,2008,21,FoliarFungicide,10/15/2008,Panicum sp.,1
E244,2008,21,FoliarFungicide,10/15/2008,Poa pratensis,20
E244,2008,21,FoliarFungicide,10/15/2008,Schizachyrium scoparium,8
E244,2008,21,FoliarFungicide,10/15/2008,Solidago rigida,15
E244,2008,22,SoilDrenchFungicide,10/15/2008,Amorpha canescens,10
E244,2008,22,SoilDrenchFungicide,10/15/2008,Andropogon gerardi,25
E244,2008,22,SoilDrenchFungicide,10/15/2008,Bare ground,27
E244,2008,22,SoilDrenchFungicide,10/15/2008,Lespedeza capitata,2
E244,2008,22,SoilDrenchFungicide,10/15/2008,Liatris aspera,3
E244,2008,22,SoilDrenchFungicide,10/15/2008,Lupinus perennis,8
E244,2008,22,SoilDrenchFungicide,10/15/2008,Poa pratensis,6
E244,2008,22,SoilDrenchFungicide,10/15/2008,Schizachyrium scoparium,15
E244,2008,22,SoilDrenchFungicide,10/15/2008,Stipa spartea,4
E244,2008,23,AllPesticides,10/15/2008,Achillea millefolium,1
E244,2008,23,AllPesticides,10/15/2008,Andropogon gerardi,18
E244,2008,23,AllPesticides,10/15/2008,Bare ground,32
E244,2008,23,AllPesticides,10/15/2008,Lespedeza capitata,3
E244,2008,23,AllPesticides,10/15/2008,Liatris aspera,12
E244,2008,23,AllPesticides,10/15/2008,Poa pratensis,18
E244,2008,23,AllPesticides,10/15/2008,Schizachyrium scoparium,16
E244,2008,24,Control,10/15/2008,Achillea millefolium,2
E244,2008,24,Control,10/15/2008,Andropogon gerardi,8
E244,2008,24,Control,10/15/2008,Bare ground,26
E244,2008,24,Control,10/15/2008,Lespedeza capitata,5
E244,2008,24,Control,10/15/2008,Liatris aspera,4
E244,2008,24,Control,10/15/2008,Lupinus perennis,10
E244,2008,24,Control,10/15/2008,Poa pratensis,25
E244,2008,24,Control,10/15/2008,Schizachyrium scoparium,20
E244,2008,25,Insecticide,10/15/2008,Achillea millefolium,1
E244,2008,25,Insecticide,10/15/2008,Andropogon gerardi,6
E244,2008,25,Insecticide,10/15/2008,Bare ground,47
E244,2008,25,Insecticide,10/15/2008,Lespedeza capitata,2
E244,2008,25,Insecticide,10/15/2008,Lupinus perennis,5
E244,2008,25,Insecticide,10/15/2008,Panicum sp.,2
E244,2008,25,Insecticide,10/15/2008,Poa pratensis,15
E244,2008,25,Insecticide,10/15/2008,Schizachyrium scoparium,20
E244,2008,25,Insecticide,10/15/2008,Taraxicum officinalis,2
E244,2008,26,AllPesticides,10/15/2008,Agropyron repens,18
E244,2008,26,AllPesticides,10/15/2008,Bare ground,35
E244,2008,26,AllPesticides,10/15/2008,Bouteloua gracilis,6
E244,2008,26,AllPesticides,10/15/2008,Miscellaneous grasses,19
E244,2008,26,AllPesticides,10/15/2008,Lespedeza capitata,1
E244,2008,26,AllPesticides,10/15/2008,Lupinus perennis,4
E244,2008,26,AllPesticides,10/15/2008,Miscellaneous forbs,6
E244,2008,26,AllPesticides,10/15/2008,Rumex acetosella,6
E244,2008,26,AllPesticides,10/15/2008,Taraxicum officinalis,5
E244,2008,27,SoilDrenchFungicide,10/15/2008,Agropyron repens,18
E244,2008,27,SoilDrenchFungicide,10/15/2008,Bare ground,42
E244,2008,27,SoilDrenchFungicide,10/15/2008,Miscellaneous grasses,3
E244,2008,27,SoilDrenchFungicide,10/15/2008,Lupinus perennis,7
E244,2008,27,SoilDrenchFungicide,10/15/2008,Miscellaneous forbs,13
E244,2008,27,SoilDrenchFungicide,10/15/2008,Rumex acetosella,11
E244,2008,27,SoilDrenchFungicide,10/15/2008,Taraxicum officinalis,6
E244,2008,28,Insecticide,10/15/2008,Agropyron repens,21
E244,2008,28,Insecticide,10/15/2008,Bare ground,40.5
E244,2008,28,Insecticide,10/15/2008,Lupinus perennis,16
E244,2008,28,Insecticide,10/15/2008,Miscellaneous forbs,11
E244,2008,28,Insecticide,10/15/2008,Silene antirrhina,0.5
E244,2008,28,Insecticide,10/15/2008,Taraxicum officinalis,11
E244,2008,29,Control,10/15/2008,Agropyron repens,3
E244,2008,29,Control,10/15/2008,Bare ground,48
E244,2008,29,Control,10/15/2008,Miscellaneous grasses,14
E244,2008,29,Control,10/15/2008,Lespedeza capitata,1
E244,2008,29,Control,10/15/2008,Miscellaneous forbs,16
E244,2008,29,Control,10/15/2008,Rumex acetosella,8
E244,2008,29,Control,10/15/2008,Taraxicum officinalis,7
E244,2008,29,Control,10/15/2008,Verbascum thapsus,3
E244,2008,30,FoliarFungicide,10/15/2008,Bare ground,52
E244,2008,30,FoliarFungicide,10/15/2008,Berteroa incana,2
E244,2008,30,FoliarFungicide,10/15/2008,Miscellaneous grasses,12
E244,2008,30,FoliarFungicide,10/15/2008,Koeleria cristata,2
E244,2008,30,FoliarFungicide,10/15/2008,Miscellaneous forbs,8
E244,2008,30,FoliarFungicide,10/15/2008,Rumex acetosella,6
E244,2008,30,FoliarFungicide,10/15/2008,Solidago rigida,6
E244,2008,30,FoliarFungicide,10/15/2008,Taraxicum officinalis,4
E244,2008,30,FoliarFungicide,10/15/2008,Trifolium sp.,8
E244,2008,31,SoilDrenchFungicide,10/20/2008,Amorpha canescens,12
E244,2008,31,SoilDrenchFungicide,10/20/2008,Bare ground,25
E244,2008,31,SoilDrenchFungicide,10/20/2008,Bouteloua gracilis,15
E244,2008,31,SoilDrenchFungicide,10/20/2008,Lespedeza capitata,3
E244,2008,31,SoilDrenchFungicide,10/20/2008,Lupinus perennis,20
E244,2008,31,SoilDrenchFungicide,10/20/2008,Petalostemum purpureum,5
E244,2008,31,SoilDrenchFungicide,10/20/2008,Schizachyrium scoparium,20
E244,2008,32,Control,10/20/2008,Bare ground,25
E244,2008,32,Control,10/20/2008,Bouteloua gracilis,26
E244,2008,32,Control,10/20/2008,Lespedeza capitata,3
E244,2008,32,Control,10/20/2008,Lupinus perennis,4
E244,2008,32,Control,10/20/2008,Petalostemum purpureum,12
E244,2008,32,Control,10/20/2008,Poa pratensis,5
E244,2008,32,Control,10/20/2008,Schizachyrium scoparium,23
E244,2008,32,Control,10/20/2008,Solidago nemoralis,2
E244,2008,33,FoliarFungicide,10/20/2008,Amorpha canescens,8
E244,2008,33,FoliarFungicide,10/20/2008,Andropogon gerardi,3
E244,2008,33,FoliarFungicide,10/20/2008,Bare ground,17
E244,2008,33,FoliarFungicide,10/20/2008,Bouteloua gracilis,12
E244,2008,33,FoliarFungicide,10/20/2008,Coreopsis palmata,1
E244,2008,33,FoliarFungicide,10/20/2008,Lespedeza capitata,1
E244,2008,33,FoliarFungicide,10/20/2008,Liatris aspera,8
E244,2008,33,FoliarFungicide,10/20/2008,Lupinus perennis,20
E244,2008,33,FoliarFungicide,10/20/2008,Panicum oligosanthes,1
E244,2008,33,FoliarFungicide,10/20/2008,Petalostemum purpureum,3
E244,2008,33,FoliarFungicide,10/20/2008,Petalostemum villosum,1
E244,2008,33,FoliarFungicide,10/20/2008,Schizachyrium scoparium,18
E244,2008,33,FoliarFungicide,10/20/2008,Solidago nemoralis,4
E244,2008,33,FoliarFungicide,10/20/2008,Solidago rigida,3
E244,2008,34,AllPesticides,10/20/2008,Andropogon gerardi,10
E244,2008,34,AllPesticides,10/20/2008,Bare ground,12
E244,2008,34,AllPesticides,10/20/2008,Bouteloua gracilis,20
E244,2008,34,AllPesticides,10/20/2008,Lespedeza capitata,5
E244,2008,34,AllPesticides,10/20/2008,Lupinus perennis,15
E244,2008,34,AllPesticides,10/20/2008,Petalostemum purpureum,1
E244,2008,34,AllPesticides,10/20/2008,Poa pratensis,3
E244,2008,34,AllPesticides,10/20/2008,Schizachyrium scoparium,28
E244,2008,34,AllPesticides,10/20/2008,Solidago nemoralis,6
E244,2008,35,Insecticide,10/20/2008,Achillea millefolium,2
E244,2008,35,Insecticide,10/20/2008,Amorpha canescens,14
E244,2008,35,Insecticide,10/20/2008,Andropogon gerardi,5
E244,2008,35,Insecticide,10/20/2008,Bare ground,20
E244,2008,35,Insecticide,10/20/2008,Bouteloua gracilis,12
E244,2008,35,Insecticide,10/20/2008,Coreopsis palmata,1
E244,2008,35,Insecticide,10/20/2008,Lespedeza capitata,2
E244,2008,35,Insecticide,10/20/2008,Monarda fistulosa,6
E244,2008,35,Insecticide,10/20/2008,Petalostemum purpureum,3
E244,2008,35,Insecticide,10/20/2008,Schizachyrium scoparium,20
E244,2008,35,Insecticide,10/20/2008,Solidago nemoralis,15
E244,2008,36,AllPesticides,10/20/2008,Amorpha canescens,20
E244,2008,36,AllPesticides,10/20/2008,Bare ground,25
E244,2008,36,AllPesticides,10/20/2008,Bouteloua gracilis,12
E244,2008,36,AllPesticides,10/20/2008,Koeleria cristata,4
E244,2008,36,AllPesticides,10/20/2008,Petalostemum purpureum,4
E244,2008,36,AllPesticides,10/20/2008,Poa pratensis,8
E244,2008,36,AllPesticides,10/20/2008,Schizachyrium scoparium,27
E244,2008,37,Control,10/20/2008,Amorpha canescens,10
E244,2008,37,Control,10/20/2008,Bare ground,26
E244,2008,37,Control,10/20/2008,Koeleria cristata,5
E244,2008,37,Control,10/20/2008,Lupinus perennis,10
E244,2008,37,Control,10/20/2008,Petalostemum purpureum,10
E244,2008,37,Control,10/20/2008,Poa pratensis,12
E244,2008,37,Control,10/20/2008,Schizachyrium scoparium,27
E244,2008,38,SoilDrenchFungicide,10/20/2008,Amorpha canescens,5
E244,2008,38,SoilDrenchFungicide,10/20/2008,Bare ground,28
E244,2008,38,SoilDrenchFungicide,10/20/2008,Bouteloua gracilis,2
E244,2008,38,SoilDrenchFungicide,10/20/2008,Koeleria cristata,3
E244,2008,38,SoilDrenchFungicide,10/20/2008,Lupinus perennis,10
E244,2008,38,SoilDrenchFungicide,10/20/2008,Petalostemum purpureum,7
E244,2008,38,SoilDrenchFungicide,10/20/2008,Poa pratensis,10
E244,2008,38,SoilDrenchFungicide,10/20/2008,Schizachyrium scoparium,35
E244,2008,39,Insecticide,10/20/2008,Achillea millefolium,2
E244,2008,39,Insecticide,10/20/2008,Andropogon gerardi,5
E244,2008,39,Insecticide,10/20/2008,Bare ground,12
E244,2008,39,Insecticide,10/20/2008,Liatris aspera,7
E244,2008,39,Insecticide,10/20/2008,Lupinus perennis,7
E244,2008,39,Insecticide,10/20/2008,Petalostemum purpureum,12
E244,2008,39,Insecticide,10/20/2008,Poa pratensis,13
E244,2008,39,Insecticide,10/20/2008,Schizachyrium scoparium,37
E244,2008,39,Insecticide,10/20/2008,Solidago rigida,5
E244,2008,40,FoliarFungicide,10/20/2008,Amorpha canescens,7
E244,2008,40,FoliarFungicide,10/20/2008,Andropogon gerardi,13
E244,2008,40,FoliarFungicide,10/20/2008,Bare ground,11
E244,2008,40,FoliarFungicide,10/20/2008,Liatris aspera,3
E244,2008,40,FoliarFungicide,10/20/2008,Lupinus perennis,7
E244,2008,40,FoliarFungicide,10/20/2008,Petalostemum purpureum,17
E244,2008,40,FoliarFungicide,10/20/2008,Poa pratensis,13
E244,2008,40,FoliarFungicide,10/20/2008,Schizachyrium scoparium,20
E244,2008,40,FoliarFungicide,10/20/2008,Solidago rigida,4
E244,2008,40,FoliarFungicide,10/20/2008,Sorghastrum nutans,5
E244,2008,41,Insecticide,10/20/2008,Andropogon gerardi,45
E244,2008,41,Insecticide,10/20/2008,Bare ground,51
E244,2008,41,Insecticide,10/20/2008,Bouteloua gracilis,1
E244,2008,41,Insecticide,10/20/2008,Schizachyrium scoparium,3
E244,2008,42,AllPesticides,10/20/2008,Andropogon gerardi,28
E244,2008,42,AllPesticides,10/20/2008,Bare ground,71
E244,2008,42,AllPesticides,10/20/2008,Bouteloua gracilis,1
E244,2008,43,FoliarFungicide,10/20/2008,Andropogon gerardi,20
E244,2008,43,FoliarFungicide,10/20/2008,Bare ground,72
E244,2008,43,FoliarFungicide,10/20/2008,Schizachyrium scoparium,8
E244,2008,44,Control,10/20/2008,Achillea millefolium,0.5
E244,2008,44,Control,10/20/2008,Andropogon gerardi,2.5
E244,2008,44,Control,10/20/2008,Bare ground,80
E244,2008,44,Control,10/20/2008,Lespedeza capitata,2
E244,2008,44,Control,10/20/2008,Lupinus perennis,1
E244,2008,44,Control,10/20/2008,Schizachyrium scoparium,14
E244,2008,45,SoilDrenchFungicide,10/20/2008,Achillea millefolium,1
E244,2008,45,SoilDrenchFungicide,10/20/2008,Andropogon gerardi,2
E244,2008,45,SoilDrenchFungicide,10/20/2008,Bare ground,75
E244,2008,45,SoilDrenchFungicide,10/20/2008,Miscellaneous forbs,2
E244,2008,45,SoilDrenchFungicide,10/20/2008,Schizachyrium scoparium,20
E244,2008,46,SoilDrenchFungicide,10/20/2008,Achillea millefolium,1
E244,2008,46,SoilDrenchFungicide,10/20/2008,Andropogon gerardi,16
E244,2008,46,SoilDrenchFungicide,10/20/2008,Bare ground,30
E244,2008,46,SoilDrenchFungicide,10/20/2008,Bouteloua curtipendula,2
E244,2008,46,SoilDrenchFungicide,10/20/2008,Bouteloua gracilis,18
E244,2008,46,SoilDrenchFungicide,10/20/2008,Lespedeza capitata,3
E244,2008,46,SoilDrenchFungicide,10/20/2008,Panicum virgatum,12
E244,2008,46,SoilDrenchFungicide,10/20/2008,Poa pratensis,18
E244,2008,47,Control,10/20/2008,Andropogon gerardi,5
E244,2008,47,Control,10/20/2008,Bare ground,30
E244,2008,47,Control,10/20/2008,Bouteloua curtipendula,1
E244,2008,47,Control,10/20/2008,Lespedeza capitata,10
E244,2008,47,Control,10/20/2008,Panicum virgatum,10
E244,2008,47,Control,10/20/2008,Poa pratensis,40
E244,2008,47,Control,10/20/2008,Schizachyrium scoparium,4
E244,2008,48,Insecticide,10/20/2008,Andropogon gerardi,34
E244,2008,48,Insecticide,10/20/2008,Bare ground,8
E244,2008,48,Insecticide,10/20/2008,Lespedeza capitata,4
E244,2008,48,Insecticide,10/20/2008,Lupinus perennis,7
E244,2008,48,Insecticide,10/20/2008,Panicum oligosanthes,2
E244,2008,48,Insecticide,10/20/2008,Panicum virgatum,10
E244,2008,48,Insecticide,10/20/2008,Poa pratensis,25
E244,2008,48,Insecticide,10/20/2008,Schizachyrium scoparium,5
E244,2008,48,Insecticide,10/20/2008,Sorghastrum nutans,5
E244,2008,49,FoliarFungicide,10/20/2008,Bare ground,30
E244,2008,49,FoliarFungicide,10/20/2008,Lespedeza capitata,5
E244,2008,49,FoliarFungicide,10/20/2008,Panicum virgatum,20
E244,2008,49,FoliarFungicide,10/20/2008,Poa pratensis,15
E244,2008,49,FoliarFungicide,10/20/2008,Schizachyrium scoparium,8
E244,2008,49,FoliarFungicide,10/20/2008,Solidago sp.,12
E244,2008,49,FoliarFungicide,10/20/2008,Sorghastrum nutans,10
E244,2008,50,AllPesticides,10/20/2008,Andropogon gerardi,10
E244,2008,50,AllPesticides,10/20/2008,Bare ground,11
E244,2008,50,AllPesticides,10/20/2008,Lespedeza capitata,10
E244,2008,50,AllPesticides,10/20/2008,Panicum oligosanthes,4
