Year,Date,Experiment,Plot,Treatment,Species,Mass(g),Mass g/m^2)
2007,10/5/07,E244,6,FoliarFungicide,Koeleria cristata,0.12,1.2
2007,10/5/07,E244,7,Insecticide,Petalostemum candidum,0.04,0.4
2007,10/5/07,E244,7,Insecticide,Sorghastrum nutans,0.65,6.5
2007,10/5/07,E244,7,Insecticide,Solidago rigida,3.41,34.1
2007,10/5/07,E244,7,Insecticide,Schizachyrium scoparium,3.09,30.9
2007,10/5/07,E244,7,Insecticide,Petalostemum villosum,1.28,12.8
2007,10/5/07,E244,7,Insecticide,Petalostemum purpureum,0.99,9.9
2007,10/5/07,E244,7,Insecticide,Lespedeza capitata,2.11,21.1
2007,10/5/07,E244,7,Insecticide,Koeleria cristata,0.13,1.3
2007,10/5/07,E244,7,Insecticide,Bouteloua gracilis,0.84,8.4
2007,10/5/07,E244,7,Insecticide,Lupinus perennis,1.94,19.4
2007,10/5/07,E244,7,Insecticide,Amorpha canescens,4.35,43.5
2007,10/5/07,E244,7,Insecticide,Andropogon gerardi,5.4,54
2007,10/2/07,E244,8,AllPesticides,Liatris aspera,0.19,1.9
2007,10/2/07,E244,8,AllPesticides,Solidago nemoralis,2.7,27
2007,10/2/07,E244,8,AllPesticides,Schizachyrium scoparium,1.41,14.1
2007,10/2/07,E244,8,AllPesticides,Petalostemum villosum,3.4,34
2007,10/2/07,E244,8,AllPesticides,Petalostemum purpureum,0.05,0.5
2007,10/2/07,E244,8,AllPesticides,Lupinus perennis,3.57,35.7
2007,10/2/07,E244,8,AllPesticides,Lespedeza capitata,3.23,32.3
2007,10/2/07,E244,8,AllPesticides,Koeleria cristata,0.01,0.1
2007,10/2/07,E244,8,AllPesticides,Bouteloua gracilis,1.5,15
2007,10/2/07,E244,8,AllPesticides,Bouteloua curtipendula,0.09,0.9
2007,10/2/07,E244,8,AllPesticides,Panicum virgatum,0.38,3.8
2007,10/16/07,E244,9,Control,Coreopsis palmata,0.27,2.7
2007,10/16/07,E244,9,Control,Solidago nemoralis,0.57,5.7
2007,10/16/07,E244,9,Control,Schizachyrium scoparium,0.52,5.2
2007,10/16/07,E244,9,Control,Petalostemum villosum,9.38,93.8
2007,10/16/07,E244,9,Control,Petalostemum purpureum,0.54,5.4
2007,10/16/07,E244,9,Control,Sorghastrum nutans,0.29,2.9
2007,10/16/07,E244,9,Control,Panicum virgatum,0.26,2.6
2007,10/16/07,E244,9,Control,Bouteloua gracilis,1.52,15.2
2007,10/16/07,E244,9,Control,Bouteloua curtipendula,1.05,10.5
2007,10/16/07,E244,9,Control,Agropyron repens,0.21,2.1
2007,10/16/07,E244,9,Control,Lespedeza capitata,0.92,9.2
2007,10/16/07,E244,9,Control,Lupinus perennis,8.04,80.4
2007,10/3/07,E244,10,SoilDrenchFungicide,Liatris aspera,0.15,1.5
2007,10/3/07,E244,10,SoilDrenchFungicide,Sorghastrum nutans,0.02,0.2
2007,10/3/07,E244,10,SoilDrenchFungicide,Solidago nemoralis,1.09,10.9
2007,10/3/07,E244,10,SoilDrenchFungicide,Schizachyrium scoparium,2,20
2007,10/3/07,E244,10,SoilDrenchFungicide,Petalostemum villosum,26.83,268.3
2007,10/3/07,E244,10,SoilDrenchFungicide,Petalostemum purpureum,0.28,2.8
2007,10/3/07,E244,10,SoilDrenchFungicide,Petalostemum candidum,0.37,3.7
2007,10/3/07,E244,10,SoilDrenchFungicide,Lupinus perennis,0.47,4.7
2007,10/3/07,E244,10,SoilDrenchFungicide,Lespedeza capitata,0.24,2.4
2007,10/3/07,E244,10,SoilDrenchFungicide,Koeleria cristata,0.12,1.2
2007,10/3/07,E244,10,SoilDrenchFungicide,Bouteloua gracilis,2.32,23.2
2007,10/3/07,E244,10,SoilDrenchFungicide,Monarda fistulosa,1.89,18.9
2007,9/18/07,E244,11,SoilDrenchFungicide,Cyperus sp.,0.07,0.7
2007,9/18/07,E244,11,SoilDrenchFungicide,Bouteloua gracilis,0.06,0.6
2007,9/18/07,E244,11,SoilDrenchFungicide,Lepidium densiflorum,0.02,0.2
2007,9/18/07,E244,11,SoilDrenchFungicide,Asclepias tuberosa,16.03,160.3
2007,9/18/07,E244,11,SoilDrenchFungicide,Erigeron canadensis,0.51,5.1
2007,9/18/07,E244,11,SoilDrenchFungicide,Aristida basiramea,1.31,13.1
2007,10/5/07,E244,12,AllPesticides,Erigeron canadensis,1.54,15.4
2007,10/5/07,E244,12,AllPesticides,Taraxicum officinalis,0.01,0.1
2007,10/5/07,E244,12,AllPesticides,Schizachyrium scoparium,0.04,0.4
2007,10/5/07,E244,12,AllPesticides,Hedeoma hispida,0.25,2.5
2007,10/5/07,E244,12,AllPesticides,Cyperus sp.,0.2,2
2007,10/5/07,E244,12,AllPesticides,Aristida basiramea,1.41,14.1
2007,10/5/07,E244,12,AllPesticides,Achillea millefolium(lanulosa),0.32,3.2
2007,10/5/07,E244,12,AllPesticides,Lepidium densiflorum,0.01,0.1
2007,9/18/07,E244,13,FoliarFungicide,Aristida basiramea,1.56,15.6
2007,9/18/07,E244,13,FoliarFungicide,Erigeron canadensis,0.4,4
2007,9/18/07,E244,13,FoliarFungicide,Polygonum tenue,0.22,2.2
2007,9/18/07,E244,13,FoliarFungicide,Lepidium densiflorum,0.01,0.1
2007,9/18/07,E244,13,FoliarFungicide,Hedeoma hispida,0.1,1
2007,9/18/07,E244,13,FoliarFungicide,Crepis tectorum,0.13,1.3
2007,9/18/07,E244,13,FoliarFungicide,Agrostis scabra,0.09,0.9
2007,9/18/07,E244,13,FoliarFungicide,Achillea millefolium(lanulosa),0.82,8.2
2007,9/18/07,E244,13,FoliarFungicide,Digitaria sp.,0.04,0.4
2007,9/19/07,E244,14,Insecticide,Achillea millefolium(lanulosa),0.91,9.1
2007,9/19/07,E244,14,Insecticide,Agrostis scabra,0.05,0.5
2007,9/19/07,E244,14,Insecticide,Aristida basiramea,2.3,23
2007,9/19/07,E244,14,Insecticide,Bouteloua gracilis,0.22,2.2
2007,9/19/07,E244,14,Insecticide,Eragrostis spectabilis,1.07,10.7
2007,9/19/07,E244,14,Insecticide,Erigeron canadensis,0.017,0.17
2007,9/19/07,E244,14,Insecticide,Lupinus perennis,0.03,0.3
2007,10/16/07,E244,15,Control,Cyperus sp.,0.74,7.4
2007,10/16/07,E244,15,Control,Crepis tectorum,0.06,0.6
2007,10/16/07,E244,15,Control,Schizachyrium scoparium,0.72,7.2
2007,10/16/07,E244,15,Control,Bouteloua gracilis,0.14,1.4
2007,10/16/07,E244,15,Control,Aristida basiramea,2.26,22.6
2007,10/16/07,E244,15,Control,Achillea millefolium(lanulosa),0.26,2.6
2007,10/16/07,E244,15,Control,Rumex acetosella,0.27,2.7
2007,10/2/07,E244,16,FoliarFungicide,Lupinus perennis,3.18,31.8
2007,10/2/07,E244,16,FoliarFungicide,Schizachyrium scoparium,2.42,24.2
2007,10/2/07,E244,16,FoliarFungicide,Achillea millefolium(lanulosa),0.08,0.8
2007,10/2/07,E244,16,FoliarFungicide,Andropogon gerardi,0.77,7.7
2007,10/2/07,E244,16,FoliarFungicide,Lespedeza capitata,3.87,38.7
2007,10/2/07,E244,16,FoliarFungicide,Petalostemum candidum,0.76,7.6
2007,10/2/07,E244,16,FoliarFungicide,Petalostemum purpureum,0.1,1
2007,10/2/07,E244,16,FoliarFungicide,Poa pratensis,0.19,1.9
2007,10/2/07,E244,16,FoliarFungicide,Bouteloua gracilis,2.37,23.7
2007,10/2/07,E244,17,Control,Panicum virgatum,0.07,0.7
2007,10/2/07,E244,17,Control,Andropogon gerardi,2.92,29.2
2007,10/2/07,E244,17,Control,Bouteloua gracilis,3.87,38.7
2007,10/2/07,E244,17,Control,Lespedeza capitata,3.12,31.2
2007,10/2/07,E244,17,Control,Achillea millefolium(lanulosa),0.01,0.1
2007,10/2/07,E244,17,Control,Petalostemum villosum,5.65,56.5
2007,10/2/07,E244,17,Control,Schizachyrium scoparium,1.82,18.2
2007,10/2/07,E244,17,Control,Sorghastrum nutans,0.15,1.5
2007,10/2/07,E244,17,Control,Lupinus perennis,1.15,11.5
2007,10/2/07,E244,17,Control,Liatris aspera,2.52,25.2
2007,10/2/07,E244,18,SoilDrenchFungicide,Schizachyrium scoparium,0.87,8.7
2007,10/2/07,E244,18,SoilDrenchFungicide,Petalostemum candidum,0.04,0.4
2007,10/2/07,E244,18,SoilDrenchFungicide,Lupinus perennis,6.32,63.2
2007,10/2/07,E244,18,SoilDrenchFungicide,Lespedeza capitata,0.17,1.7
2007,10/2/07,E244,18,SoilDrenchFungicide,Cyperus sp.,0.26,2.6
2007,10/2/07,E244,18,SoilDrenchFungicide,Coreopsis palmata,2.29,22.9
2007,10/2/07,E244,18,SoilDrenchFungicide,Bouteloua gracilis,0.22,2.2
2007,10/2/07,E244,18,SoilDrenchFungicide,Petalostemum villosum,0.35,3.5
2007,10/2/07,E244,18,SoilDrenchFungicide,Solidago rigida,1.49,14.9
2007,10/2/07,E244,18,SoilDrenchFungicide,Petalostemum purpureum,0.15,1.5
2007,10/2/07,E244,18,SoilDrenchFungicide,Achillea millefolium(lanulosa),0.14,1.4
2007,10/16/07,E244,19,Insecticide,Lespedeza capitata,2.06,20.6
2007,10/16/07,E244,19,Insecticide,Solidago nemoralis,0.47,4.7
2007,10/16/07,E244,19,Insecticide,Schizachyrium scoparium,4.17,41.7
2007,10/16/07,E244,19,Insecticide,Petalostemum purpureum,0.95,9.5
2007,10/16/07,E244,19,Insecticide,Monarda fistulosa,0.11,1.1
2007,10/16/07,E244,19,Insecticide,Liatris aspera,4.55,45.5
2007,10/16/07,E244,19,Insecticide,Coreopsis palmata,6.57,65.7
2007,10/16/07,E244,19,Insecticide,Bouteloua gracilis,3.83,38.3
2007,10/16/07,E244,19,Insecticide,Andropogon gerardi,0.08,0.8
2007,10/16/07,E244,19,Insecticide,Achillea millefolium(lanulosa),0.06,0.6
2007,10/16/07,E244,19,Insecticide,Lupinus perennis,2.05,20.5
2007,10/16/07,E244,19,Insecticide,Sporobolus cryptandrus,0.08,0.8
2007,10/5/07,E244,20,AllPesticides,Lupinus perennis,3.53,35.3
2007,10/5/07,E244,20,AllPesticides,Amorpha canescens,1.51,15.1
2007,10/5/07,E244,20,AllPesticides,Andropogon gerardi,1.89,18.9
2007,10/5/07,E244,20,AllPesticides,Lespedeza capitata,0.16,1.6
2007,10/5/07,E244,20,AllPesticides,Petalostemum purpureum,2.19,21.9
2007,10/5/07,E244,20,AllPesticides,Schizachyrium scoparium,2.2,22
2007,10/5/07,E244,20,AllPesticides,Solidago rigida,0.04,0.4
2007,10/5/07,E244,20,AllPesticides,Sorghastrum nutans,0.65,6.5
2007,10/5/07,E244,20,AllPesticides,Panicum virgatum,0.08,0.8
2007,10/5/07,E244,20,AllPesticides,Bouteloua gracilis,1.75,17.5
2007,10/16/07,E244,21,FoliarFungicide,Solidago rigida,0.31,3.1
2007,10/16/07,E244,21,FoliarFungicide,Sorghastrum nutans,0.23,2.3
2007,10/16/07,E244,21,FoliarFungicide,Schizachyrium scoparium,1.52,15.2
2007,10/16/07,E244,21,FoliarFungicide,Poa pratensis,0.9,9
2007,10/16/07,E244,21,FoliarFungicide,Lupinus perennis,2.56,25.6
2007,10/16/07,E244,21,FoliarFungicide,Andropogon gerardi,2.76,27.6
2007,10/16/07,E244,22,SoilDrenchFungicide,Lespedeza capitata,1.39,13.9
2007,10/16/07,E244,22,SoilDrenchFungicide,Sorghastrum nutans,0.59,5.9
2007,10/16/07,E244,22,SoilDrenchFungicide,Poa pratensis,0.01,0.1
2007,10/16/07,E244,22,SoilDrenchFungicide,Liatris aspera,3.75,37.5
2007,10/16/07,E244,22,SoilDrenchFungicide,Andropogon gerardi,4.89,48.9
2007,10/16/07,E244,22,SoilDrenchFungicide,Agropyron repens,0.15,1.5
2007,10/16/07,E244,22,SoilDrenchFungicide,Schizachyrium scoparium,3.92,39.2
2007,10/16/07,E244,22,SoilDrenchFungicide,Lupinus perennis,2.96,29.6
2007,10/16/07,E244,22,SoilDrenchFungicide,Panicum virgatum,0.28,2.8
2007,10/5/07,E244,23,AllPesticides,Lespedeza capitata,0.01,0.1
2007,10/5/07,E244,23,AllPesticides,Sorghastrum nutans,0.28,2.8
2007,10/5/07,E244,23,AllPesticides,Schizachyrium scoparium,3.08,30.8
2007,10/5/07,E244,23,AllPesticides,Lupinus perennis,5.34,53.4
2007,10/5/07,E244,23,AllPesticides,Andropogon gerardi,19.38,193.8
2007,10/5/07,E244,23,AllPesticides,Agropyron repens,0.21,2.1
2007,10/5/07,E244,23,AllPesticides,Poa pratensis,1.95,19.5
2007,10/2/07,E244,24,Control,Lupinus perennis,1.33,13.3
2007,10/2/07,E244,24,Control,Sorghastrum nutans,0.49,4.9
2007,10/2/07,E244,24,Control,Solidago rigida,0.02,0.2
2007,10/2/07,E244,24,Control,Schizachyrium scoparium,0.93,9.3
2007,10/2/07,E244,24,Control,Poa pratensis,1.95,19.5
2007,10/2/07,E244,24,Control,Monarda fistulosa,0.23,2.3
2007,10/2/07,E244,24,Control,Lespedeza capitata,1.79,17.9
2007,10/2/07,E244,24,Control,Cyperus sp.,0.02,0.2
2007,10/2/07,E244,24,Control,Andropogon gerardi,8.81,88.1
2007,10/2/07,E244,24,Control,Agropyron repens,0.25,2.5
2007,10/2/07,E244,24,Control,Panicum virgatum,0.1,1
2007,10/16/07,E244,25,Insecticide,Andropogon gerardi,6.18,61.8
2007,10/16/07,E244,25,Insecticide,Lupinus perennis,0.73,7.3
2007,10/16/07,E244,25,Insecticide,Achillea millefolium(lanulosa),0.02,0.2
2007,10/16/07,E244,25,Insecticide,Schizachyrium scoparium,0.67,6.7
2007,10/16/07,E244,25,Insecticide,Lespedeza capitata,0.76,7.6
2007,10/16/07,E244,25,Insecticide,Panicum virgatum,0.19,1.9
2007,10/16/07,E244,25,Insecticide,Poa pratensis,0.24,2.4
2007,10/16/07,E244,25,Insecticide,Sorghastrum nutans,0.84,8.4
2007,10/16/07,E244,25,Insecticide,Solidago rigida,0.53,5.3
2007,9/18/07,E244,26,AllPesticides,Agropyron repens,1.59,15.9
2007,9/18/07,E244,26,AllPesticides,Lupinus perennis,2.69,26.9
2007,9/18/07,E244,26,AllPesticides,Euphorbia glyptosperma,0.03,0.3
2007,9/18/07,E244,26,AllPesticides,Cyperus sp.,0.03,0.3
2007,9/18/07,E244,26,AllPesticides,Aristida basiramea,0.06,0.6
2007,9/18/07,E244,26,AllPesticides,Ambrosia artemisiifolia elatior,0.98,9.8
2007,9/18/07,E244,26,AllPesticides,Taraxicum officinalis,0.01,0.1
2007,10/5/07,E244,27,SoilDrenchFungicide,Agropyron repens,3.87,38.7
2007,10/5/07,E244,27,SoilDrenchFungicide,Cyperus sp.,0.04,0.4
2007,10/5/07,E244,27,SoilDrenchFungicide,Euphorbia glyptosperma,0.04,0.4
2007,10/5/07,E244,27,SoilDrenchFungicide,Lupinus perennis,5.9,59
2007,10/5/07,E244,27,SoilDrenchFungicide,Polygonum convolvulus,0.15,1.5
2007,10/5/07,E244,27,SoilDrenchFungicide,Taraxicum officinalis,0.03,0.3
2007,10/5/07,E244,27,SoilDrenchFungicide,Aristida basiramea,0.01,0.1
2007,10/5/07,E244,27,SoilDrenchFungicide,Rumex acetosella,0.15,1.5
2007,9/18/07,E244,28,Insecticide,Agropyron repens,2.56,25.6
2007,9/18/07,E244,28,Insecticide,Crepis tectorum,0.11,1.1
2007,9/18/07,E244,28,Insecticide,Cyperus sp.,0.14,1.4
2007,9/18/07,E244,28,Insecticide,Lupinus perennis,1.41,14.1
2007,9/18/07,E244,28,Insecticide,Taraxicum officinalis,0.02,0.2
2007,10/16/07,E244,29,Control,Agropyron repens,0.31,3.1
2007,10/16/07,E244,29,Control,Lupinus perennis,1.71,17.1
2007,10/16/07,E244,29,Control,Lepidium densiflorum,0.01,0.1
2007,10/16/07,E244,29,Control,Euphorbia glyptosperma,0.1,1
2007,10/16/07,E244,29,Control,Cyperus sp.,0.47,4.7
2007,10/16/07,E244,29,Control,Aristida basiramea,0.07,0.7
2007,10/16/07,E244,29,Control,Sporobolus cryptandrus,0.04,0.4
2007,9/18/07,E244,30,FoliarFungicide,Lespedeza capitata,0.01,0.1
2007,9/18/07,E244,30,FoliarFungicide,Achillea millefolium(lanulosa),0.09,0.9
2007,9/18/07,E244,30,FoliarFungicide,Schizachyrium scoparium,0.07,0.7
2007,9/18/07,E244,30,FoliarFungicide,Euphorbia glyptosperma,0.01,0.1
2007,9/18/07,E244,30,FoliarFungicide,Lupinus perennis,1,10
2007,9/18/07,E244,30,FoliarFungicide,Aristida basiramea,0.23,2.3
2007,10/3/07,E244,31,SoilDrenchFungicide,Bouteloua gracilis,0.94,9.4
2007,10/3/07,E244,31,SoilDrenchFungicide,Lupinus perennis,0.91,9.1
2007,10/3/07,E244,31,SoilDrenchFungicide,Schizachyrium scoparium,4.29,42.9
2007,10/3/07,E244,31,SoilDrenchFungicide,Sorghastrum nutans,0.35,3.5
2007,10/16/07,E244,32,Control,Amorpha canescens,0.95,9.5
2007,10/16/07,E244,32,Control,Liatris aspera,0.88,8.8
2007,10/16/07,E244,32,Control,Schizachyrium scoparium,5.2,52
2007,10/16/07,E244,32,Control,Petalostemum purpureum,3.16,31.6
2007,10/16/07,E244,32,Control,Petalostemum candidum,0.21,2.1
2007,10/16/07,E244,32,Control,Lespedeza capitata,0.75,7.5
2007,10/16/07,E244,32,Control,Andropogon gerardi,0.9,9
2007,10/16/07,E244,32,Control,Bouteloua gracilis,0.99,9.9
2007,10/5/07,E244,33,FoliarFungicide,Solidago rigida,0.16,1.6
2007,10/5/07,E244,33,FoliarFungicide,Sorghastrum nutans,0.69,6.9
2007,10/5/07,E244,33,FoliarFungicide,Schizachyrium scoparium,6,60
2007,10/5/07,E244,33,FoliarFungicide,Poa pratensis,0.35,3.5
2007,10/5/07,E244,33,FoliarFungicide,Petalostemum purpureum,0.18,1.8
2007,10/5/07,E244,33,FoliarFungicide,Panicum virgatum,0.08,0.8
2007,10/5/07,E244,33,FoliarFungicide,Lespedeza capitata,1.82,18.2
2007,10/5/07,E244,33,FoliarFungicide,Coreopsis palmata,5.8,58
2007,10/5/07,E244,33,FoliarFungicide,Bouteloua gracilis,0.74,7.4
2007,10/5/07,E244,33,FoliarFungicide,Andropogon gerardi,0.9,9
2007,10/5/07,E244,33,FoliarFungicide,Lupinus perennis,9.13,91.3
2007,10/5/07,E244,34,AllPesticides,Bouteloua gracilis,0.21,2.1
2007,10/5/07,E244,34,AllPesticides,Sorghastrum nutans,0.09,0.9
2007,10/5/07,E244,34,AllPesticides,Schizachyrium scoparium,9.35,93.5
2007,10/5/07,E244,34,AllPesticides,Poa pratensis,0.01,0.1
2007,10/5/07,E244,34,AllPesticides,Amorpha canescens,0.12,1.2
2007,10/5/07,E244,34,AllPesticides,Lespedeza capitata,0.99,9.9
2007,10/5/07,E244,34,AllPesticides,Andropogon gerardi,4.23,42.3
2007,10/5/07,E244,34,AllPesticides,Lupinus perennis,0.87,8.7
2007,10/16/07,E244,35,Insecticide,Panicum virgatum,1.22,12.2
2007,10/16/07,E244,35,Insecticide,Petalostemum purpureum,0.11,1.1
2007,10/16/07,E244,35,Insecticide,Sorghastrum nutans,0.66,6.6
2007,10/16/07,E244,35,Insecticide,Schizachyrium scoparium,6.1,61
2007,10/16/07,E244,35,Insecticide,Sporobolus cryptandrus,0.56,5.6
2007,10/16/07,E244,35,Insecticide,Petalostemum candidum,0.07,0.7
2007,10/16/07,E244,35,Insecticide,Liatris aspera,3.27,32.7
2007,10/16/07,E244,35,Insecticide,Lespedeza capitata,3.62,36.2
2007,10/16/07,E244,35,Insecticide,Coreopsis palmata,5.92,59.2
2007,10/16/07,E244,35,Insecticide,Bouteloua gracilis,0.84,8.4
2007,10/16/07,E244,35,Insecticide,Andropogon gerardi,3.27,32.7
2007,10/16/07,E244,35,Insecticide,Lupinus perennis,1.68,16.8
2007,10/16/07,E244,35,Insecticide,Solidago nemoralis,1.62,16.2
2007,10/16/07,E244,36,AllPesticides,Andropogon gerardi,0.43,4.3
2007,10/16/07,E244,36,AllPesticides,Sorghastrum nutans,0.26,2.6
2007,10/16/07,E244,36,AllPesticides,Schizachyrium scoparium,10.56,105.6
2007,10/16/07,E244,36,AllPesticides,Poa pratensis,1.13,11.3
2007,10/16/07,E244,36,AllPesticides,Petalostemum purpureum,1.63,16.3
2007,10/16/07,E244,36,AllPesticides,Lupinus perennis,0.81,8.1
2007,10/16/07,E244,36,AllPesticides,Bouteloua gracilis,0.06,0.6
2007,10/16/07,E244,36,AllPesticides,Amorpha canescens,28.42,284.2
2007,10/16/07,E244,36,AllPesticides,Koeleria cristata,0.04,0.4
2007,10/16/07,E244,37,Control,Andropogon gerardi,3.81,38.1
2007,10/16/07,E244,37,Control,Schizachyrium scoparium,6.92,69.2
2007,10/16/07,E244,37,Control,Sorghastrum nutans,0.24,2.4
2007,10/16/07,E244,37,Control,Poa pratensis,2.32,23.2
2007,10/16/07,E244,37,Control,Petalostemum purpureum,1.12,11.2
2007,10/16/07,E244,37,Control,Lupinus perennis,8.47,84.7
2007,10/5/07,E244,38,SoilDrenchFungicide,Petalostemum purpureum,1.5,15
2007,10/5/07,E244,38,SoilDrenchFungicide,Sorghastrum nutans,0.24,2.4
2007,10/5/07,E244,38,SoilDrenchFungicide,Poa pratensis,2.38,23.8
2007,10/5/07,E244,38,SoilDrenchFungicide,Lupinus perennis,17.54,175.4
2007,10/5/07,E244,38,SoilDrenchFungicide,Lespedeza capitata,1.08,10.8
2007,10/5/07,E244,38,SoilDrenchFungicide,Andropogon gerardi,0.12,1.2
2007,10/5/07,E244,38,SoilDrenchFungicide,Amorpha canescens,1.45,14.5
2007,10/5/07,E244,38,SoilDrenchFungicide,Schizachyrium scoparium,7.55,75.5
2007,10/5/07,E244,39,Insecticide,Sorghastrum nutans,0.24,2.4
2007,10/5/07,E244,39,Insecticide,Schizachyrium scoparium,4.14,41.4
2007,10/5/07,E244,39,Insecticide,Andropogon gerardi,3.73,37.3
2007,10/5/07,E244,39,Insecticide,Bouteloua gracilis,0.02,0.2
2007,10/5/07,E244,39,Insecticide,Liatris aspera,1.74,17.4
2007,10/5/07,E244,39,Insecticide,Lupinus perennis,19.24,192.4
2007,10/5/07,E244,39,Insecticide,Petalostemum purpureum,0.36,3.6
2007,10/5/07,E244,39,Insecticide,Poa pratensis,2.73,27.3
2007,10/5/07,E244,40,FoliarFungicide,Achillea millefolium(lanulosa),0.04,0.4
2007,10/5/07,E244,40,FoliarFungicide,Andropogon gerardi,2.3,23
2007,10/5/07,E244,40,FoliarFungicide,Lespedeza capitata,0.09,0.9
2007,10/5/07,E244,40,FoliarFungicide,Lupinus perennis,9.07,90.7
2007,10/5/07,E244,40,FoliarFungicide,Petalostemum purpureum,1.15,11.5
2007,10/5/07,E244,40,FoliarFungicide,Poa pratensis,1.7,17
2007,10/5/07,E244,40,FoliarFungicide,Schizachyrium scoparium,2.52,25.2
2007,10/5/07,E244,40,FoliarFungicide,Sorghastrum nutans,2.24,22.4
2007,10/16/07,E244,41,Insecticide,Koeleria cristata,0.22,2.2
2007,10/16/07,E244,41,Insecticide,Schizachyrium scoparium,0.02,0.2
2007,10/16/07,E244,41,Insecticide,Andropogon gerardi,2.03,20.3
2007,10/16/07,E244,41,Insecticide,Erigeron canadensis,0.01,0.1
2007,10/16/07,E244,42,AllPesticides,Andropogon gerardi,1.18,11.8
2007,10/16/07,E244,42,AllPesticides,Poa pratensis,0.01,0.1
2007,10/16/07,E244,42,AllPesticides,Schizachyrium scoparium,0.11,1.1
2007,10/16/07,E244,42,AllPesticides,Sorghastrum nutans,0.43,4.3
2007,9/18/07,E244,43,FoliarFungicide,Andropogon gerardi,3.51,35.1
2007,9/18/07,E244,43,FoliarFungicide,Aristida basiramea,0.01,0.1
2007,9/18/07,E244,43,FoliarFungicide,Sorghastrum nutans,0.14,1.4
2007,9/19/07,E244,44,Control,Andropogon gerardi,1.86,18.6
2007,9/19/07,E244,44,Control,Aristida basiramea,0.04,0.4
2007,9/19/07,E244,44,Control,Cyperus sp.,0.12,1.2
