,plot.bigbio,plot,rich.trt,treatment,SpNum,year,species,mass.above,mass.below,cover,leaf.C,leaf.N,leaf.P,bigb.N,bigb.C,intent.sp
37,29,1,1,AllPesticides,1,2012,Schsc,0.7,894.74,NA,NA,NA,NA,1.894,47.473,FALSE
38,29,1,1,AllPesticides,1,2011,ARISTIDA BASIRAMEA,27.1,498.52,NA,NA,NA,NA,1.894,47.473,FALSE
39,29,1,1,AllPesticides,1,2008,TARAXICUM OFFICINALIS,NA,NA,5,NA,NA,NA,1.894,47.473,FALSE
40,29,1,1,AllPesticides,1,2013,CYPERUS SP.,NA,NA,1,NA,NA,NA,1.894,47.473,FALSE
41,29,1,1,AllPesticides,1,2009,Andge,2.3,172.53,NA,NA,NA,NA,1.894,47.473,FALSE
42,29,1,1,AllPesticides,1,2008,UNSORTED BIOMASS,154.7,NA,NA,NA,NA,NA,1.894,47.473,FALSE
43,29,3,1,Control,1,2009,BARE GROUND,NA,NA,20,NA,NA,NA,1.894,47.473,FALSE
44,29,1,1,AllPesticides,1,2010,BARE GROUND,NA,NA,10,NA,NA,NA,1.894,47.473,FALSE
45,29,1,1,AllPesticides,1,2013,Lesca,29.8,710.5,6,NA,NA,NA,1.894,47.473,TRUE
46,29,1,1,AllPesticides,1,2013,MISCELLANEOUS LITTER,NA,NA,60,NA,NA,NA,1.894,47.473,FALSE
47,29,1,1,AllPesticides,1,2010,CYPERUS FILICULMIS,2.5,450.62,2,NA,NA,NA,1.894,47.473,FALSE
48,29,5,1,FoliarFungicide,1,2011,AGROSTIS SCABRA,NA,NA,3,NA,NA,NA,1.894,47.473,FALSE
49,29,5,1,FoliarFungicide,1,2009,PANICUM OLIGOSANTHES,1.8,371.22,NA,NA,NA,NA,1.894,47.473,FALSE
50,29,5,1,FoliarFungicide,1,2013,BARE GROUND,NA,NA,48,NA,NA,NA,1.894,47.473,FALSE
51,29,1,1,AllPesticides,1,2010,ERIGERON CANADENSIS,0.7,450.62,NA,NA,NA,NA,1.894,47.473,FALSE
52,29,2,1,Insecticide,1,2009,HEDEOMA HISPIDA,0.3,272.04,NA,NA,NA,NA,1.894,47.473,FALSE
53,29,2,1,Insecticide,1,2009,POLYGONUM CONVOLVULUS,0.4,272.04,NA,NA,NA,NA,1.894,47.473,FALSE
54,29,2,1,Insecticide,1,2013,CYPERUS SP.,NA,NA,1,NA,NA,NA,1.894,47.473,FALSE
55,29,4,1,SoilDrenchFungicide,1,2011,Luppe,1.5,167.43,NA,NA,NA,NA,1.894,47.473,FALSE
56,29,1,1,AllPesticides,1,2012,TARAXICUM OFFICINALIS,1.4,894.74,7,NA,NA,NA,1.894,47.473,FALSE
57,29,1,1,AllPesticides,1,2010,EUPHORBIA GLYPTOSPERMA,2.7,450.62,NA,NA,NA,NA,1.894,47.473,FALSE
58,29,1,1,AllPesticides,1,2011,CREPIS TECTORUM,NA,NA,2,NA,NA,NA,1.894,47.473,FALSE
59,29,1,1,AllPesticides,1,2011,CYPERUS SP.,1.2,498.52,10,NA,NA,NA,1.894,47.473,FALSE
60,29,1,1,AllPesticides,1,2011,ERIGERON CANADENSIS,1.1,498.52,NA,NA,NA,NA,1.894,47.473,FALSE
61,29,1,1,AllPesticides,1,2011,EUPHORBIA GLYPTOSPERMA,0.1,498.52,NA,NA,NA,NA,1.894,47.473,FALSE
62,29,1,1,AllPesticides,1,2011,Lesca,328.5,498.52,60,48.871,2.391,0.216416693,1.894,47.473,TRUE
63,29,1,1,AllPesticides,1,2011,PHYSALIS VIRGINIANA,1.2,498.52,NA,NA,NA,NA,1.894,47.473,FALSE
64,29,1,1,AllPesticides,1,2009,AGROPYRON REPENS,1.2,172.53,1,NA,NA,NA,1.894,47.473,FALSE
65,29,5,1,FoliarFungicide,1,2013,CYPERUS SP.,NA,NA,1,NA,NA,NA,1.894,47.473,FALSE
66,29,5,1,FoliarFungicide,1,2011,RUMEX ACETOSELLA,0.9,531.09,5,NA,NA,NA,1.894,47.473,FALSE
67,29,5,1,FoliarFungicide,1,2011,ARISTIDA BASIRAMEA,1.5,531.09,2,NA,NA,NA,1.894,47.473,FALSE
68,29,1,1,AllPesticides,1,2009,ARISTIDA BASIRAMEA,7.3,172.53,NA,NA,NA,NA,1.894,47.473,FALSE
69,29,4,1,SoilDrenchFungicide,1,2013,BARE GROUND,NA,NA,55,NA,NA,NA,1.894,47.473,FALSE
70,29,4,1,SoilDrenchFungicide,1,2011,Lesca,145.7,167.43,45,48.189,2.415,0.194549099,1.894,47.473,TRUE
71,29,4,1,SoilDrenchFungicide,1,2011,HEDEOMA HISPIDA,0.1,167.43,NA,NA,NA,NA,1.894,47.473,FALSE
72,29,4,1,SoilDrenchFungicide,1,2010,MOLLUGO VERTICILLATA,0.4,355.23,NA,NA,NA,NA,1.894,47.473,FALSE
73,29,4,1,SoilDrenchFungicide,1,2007,CYPERUS SP.,1.1,NA,NA,NA,NA,NA,1.894,47.473,FALSE
74,29,4,1,SoilDrenchFungicide,1,2007,ARISTIDA BASIRAMEA,12.5,NA,NA,NA,NA,NA,1.894,47.473,FALSE
75,29,4,1,SoilDrenchFungicide,1,2008,Lesca,NA,NA,14,NA,NA,NA,1.894,47.473,TRUE
76,29,4,1,SoilDrenchFungicide,1,2009,EUPHORBIA GLYPTOSPERMA,0.04,138.65,NA,NA,NA,NA,1.894,47.473,FALSE
77,29,4,1,SoilDrenchFungicide,1,2007,RUMEX ACETOSELLA,3.8,NA,NA,NA,NA,NA,1.894,47.473,FALSE
78,29,1,1,AllPesticides,1,2009,Luppe,218.4,172.53,NA,NA,NA,NA,1.894,47.473,FALSE
79,29,1,1,AllPesticides,1,2011,RUMEX ACETOSELLA,7.4,498.52,15,NA,NA,NA,1.894,47.473,FALSE
80,29,1,1,AllPesticides,1,2011,TARAXICUM OFFICINALIS,0.6,498.52,NA,NA,NA,NA,1.894,47.473,FALSE
81,29,1,1,AllPesticides,1,2011,AGROPYRON REPENS,3.2,498.52,2,NA,NA,NA,1.894,47.473,FALSE
82,29,1,1,AllPesticides,1,2010,ERIGERON SP.,NA,NA,3,NA,NA,NA,1.894,47.473,FALSE
83,29,1,1,AllPesticides,1,2010,ERIGERON STRIGOSUS,NA,NA,2,NA,NA,NA,1.894,47.473,FALSE
84,29,3,1,Control,1,2010,BARE GROUND,NA,NA,30,NA,NA,NA,1.894,47.473,FALSE
85,29,3,1,Control,1,2013,PANICUM OLIGOSANTHES,0.49,419.751,NA,NA,NA,NA,1.894,47.473,FALSE
86,29,4,1,SoilDrenchFungicide,1,2008,TARAXICUM OFFICINALIS,NA,NA,15,NA,NA,NA,1.894,47.473,FALSE
87,29,4,1,SoilDrenchFungicide,1,2012,DIGITARIA SP.,3.2,304.28,NA,NA,NA,NA,1.894,47.473,FALSE
88,29,4,1,SoilDrenchFungicide,1,2012,TARAXICUM OFFICINALIS,2.8,304.28,NA,NA,NA,NA,1.894,47.473,FALSE
89,29,4,1,SoilDrenchFungicide,1,2009,MISCELLANEOUS LITTER,NA,NA,5,NA,NA,NA,1.894,47.473,FALSE
90,29,4,1,SoilDrenchFungicide,1,2009,CREPIS TECTORUM,1.6,138.65,2,NA,NA,NA,1.894,47.473,FALSE
91,29,4,1,SoilDrenchFungicide,1,2009,Achmi,0.7,138.65,NA,NA,NA,NA,1.894,47.473,FALSE
92,29,4,1,SoilDrenchFungicide,1,2009,AGROPYRON REPENS,NA,NA,2,NA,NA,NA,1.894,47.473,FALSE
93,29,4,1,SoilDrenchFungicide,1,2012,CYPERUS SP.,0.2,304.28,NA,NA,NA,NA,1.894,47.473,FALSE
94,29,4,1,SoilDrenchFungicide,1,2013,TARAXICUM OFFICINALIS,0.25,394.741,1,NA,NA,NA,1.894,47.473,FALSE
95,29,4,1,SoilDrenchFungicide,1,2012,BOUTELOUA CURTIPENDULA,0.6,304.28,NA,NA,NA,NA,1.894,47.473,FALSE
96,29,4,1,SoilDrenchFungicide,1,2012,BOUTELOUA GRACILIS,1.4,304.28,NA,NA,NA,NA,1.894,47.473,FALSE
97,29,4,1,SoilDrenchFungicide,1,2009,BARE GROUND,NA,NA,20,NA,NA,NA,1.894,47.473,FALSE
98,29,4,1,SoilDrenchFungicide,1,2012,ARISTIDA BASIRAMEA,25.5,304.28,NA,NA,NA,NA,1.894,47.473,FALSE
99,29,4,1,SoilDrenchFungicide,1,2011,Achmi,4.8,167.43,NA,NA,NA,NA,1.894,47.473,FALSE
100,29,3,1,Control,1,2007,BOUTELOUA GRACILIS,0.1,NA,NA,NA,NA,NA,1.894,47.473,FALSE
101,29,3,1,Control,1,2008,Lesca,NA,NA,12,NA,NA,NA,1.894,47.473,TRUE
102,29,3,1,Control,1,2013,BOUTELOUA CURTIPENDULA,0.87,419.751,NA,NA,NA,NA,1.894,47.473,FALSE
103,29,3,1,Control,1,2009,ARISTIDA BASIRAMEA,5.4,596.88,NA,NA,NA,NA,1.894,47.473,FALSE
104,29,3,1,Control,1,2009,ARABIS GLABRA,NA,NA,5,NA,NA,NA,1.894,47.473,FALSE
105,29,3,1,Control,1,2013,TRIFOLIUM REPENS,0.02,419.751,NA,NA,NA,NA,1.894,47.473,FALSE
106,29,3,1,Control,1,2011,Lesca,130.4,275,70,48.829,2.272,0.18916593,1.894,47.473,TRUE
107,29,3,1,Control,1,2011,RUMEX ACETOSELLA,1.1,275,NA,NA,NA,NA,1.894,47.473,FALSE
108,29,3,1,Control,1,2009,MISCELLANEOUS FORBS,NA,NA,12,NA,NA,NA,1.894,47.473,FALSE
109,29,1,1,AllPesticides,1,2009,Asctu,5.6,172.53,NA,NA,NA,NA,1.894,47.473,FALSE
110,29,1,1,AllPesticides,1,2009,BARE GROUND,NA,NA,50,NA,NA,NA,1.894,47.473,FALSE
111,29,1,1,AllPesticides,1,2009,BOUTELOUA GRACILIS,15.1,172.53,NA,NA,NA,NA,1.894,47.473,FALSE
112,29,1,1,AllPesticides,1,2009,CREPIS TECTORUM,0.2,172.53,1,NA,NA,NA,1.894,47.473,FALSE
113,29,1,1,AllPesticides,1,2009,CYPERUS SP.,NA,NA,7,NA,NA,NA,1.894,47.473,FALSE
114,29,1,1,AllPesticides,1,2010,BOUTELOUA GRACILIS,NA,NA,2,NA,NA,NA,1.894,47.473,FALSE
115,29,1,1,AllPesticides,1,2010,CREPIS TECTORUM,NA,NA,5,NA,NA,NA,1.894,47.473,FALSE
116,29,1,1,AllPesticides,1,2007,AGROPYRON REPENS,1.1,NA,NA,NA,NA,NA,1.894,47.473,FALSE
117,29,1,1,AllPesticides,1,2007,ARISTIDA BASIRAMEA,9.6,NA,NA,NA,NA,NA,1.894,47.473,FALSE
118,29,3,1,Control,1,2009,Lesca,99.5,596.88,37,NA,NA,NA,1.894,47.473,TRUE
119,29,3,1,Control,1,2012,TARAXICUM OFFICINALIS,2.3,333.88,7,NA,NA,NA,1.894,47.473,FALSE
120,29,3,1,Control,1,2009,Poapr,1.4,596.88,3,NA,NA,NA,1.894,47.473,FALSE
121,29,3,1,Control,1,2013,POLYGONUM CONVOLVULUS,NA,NA,2,NA,NA,NA,1.894,47.473,FALSE
122,29,3,1,Control,1,2013,BARE GROUND,NA,NA,30,NA,NA,NA,1.894,47.473,FALSE
123,29,3,1,Control,1,2009,CREPIS TECTORUM,0.8,596.88,NA,NA,NA,NA,1.894,47.473,FALSE
124,29,1,1,AllPesticides,1,2012,Lesca,26.1,894.74,8,NA,NA,NA,1.894,47.473,TRUE
125,29,1,1,AllPesticides,1,2012,MISCELLANEOUS LITTER,NA,NA,10,NA,NA,NA,1.894,47.473,FALSE
126,29,1,1,AllPesticides,1,2011,BARE GROUND,NA,NA,11,NA,NA,NA,1.894,47.473,FALSE
127,29,1,1,AllPesticides,1,2011,CAREX SP.,0.1,498.52,NA,NA,NA,NA,1.894,47.473,FALSE
128,29,1,1,AllPesticides,1,2011,Achmi,0.3,498.52,NA,NA,NA,NA,1.894,47.473,FALSE
129,29,5,1,FoliarFungicide,1,2011,TARAXICUM OFFICINALIS,NA,NA,5,NA,NA,NA,1.894,47.473,FALSE
130,29,5,1,FoliarFungicide,1,2010,BARE GROUND,NA,NA,53,NA,NA,NA,1.894,47.473,FALSE
131,29,5,1,FoliarFungicide,1,2013,CREPIS TECTORUM,NA,NA,1,NA,NA,NA,1.894,47.473,FALSE
132,29,5,1,FoliarFungicide,1,2007,AGROSTIS SCABRA,16.4,NA,NA,NA,NA,NA,1.894,47.473,FALSE
133,29,5,1,FoliarFungicide,1,2013,EUPHORBIA GLYPTOSPERMA,NA,NA,1,NA,NA,NA,1.894,47.473,FALSE
134,29,5,1,FoliarFungicide,1,2012,Lesca,26.8,399.67,NA,NA,NA,NA,1.894,47.473,TRUE
135,29,5,1,FoliarFungicide,1,2013,Luppe,5.2,263.106,NA,NA,NA,NA,1.894,47.473,FALSE
136,29,5,1,FoliarFungicide,1,2007,BOUTELOUA GRACILIS,0.7,NA,NA,NA,NA,NA,1.894,47.473,FALSE
137,29,5,1,FoliarFungicide,1,2007,CREPIS TECTORUM,0.8,NA,NA,NA,NA,NA,1.894,47.473,FALSE
138,29,5,1,FoliarFungicide,1,2011,BOUTELOUA GRACILIS,0.8,531.09,NA,NA,NA,NA,1.894,47.473,FALSE
139,29,5,1,FoliarFungicide,1,2009,Poapr,1,371.22,2,NA,NA,NA,1.894,47.473,FALSE
140,29,5,1,FoliarFungicide,1,2013,MISCELLANEOUS LITTER,NA,NA,30,NA,NA,NA,1.894,47.473,FALSE
141,29,5,1,FoliarFungicide,1,2009,Lesca,72.2,371.22,18,NA,NA,NA,1.894,47.473,TRUE
142,29,5,1,FoliarFungicide,1,2009,ARISTIDA BASIRAMEA,7.7,371.22,NA,NA,NA,NA,1.894,47.473,FALSE
143,29,2,1,Insecticide,1,2007,Lesca,3.2,NA,NA,NA,NA,NA,1.894,47.473,TRUE
144,29,2,1,Insecticide,1,2013,Achmi,0.06,514.858,NA,NA,NA,NA,1.894,47.473,FALSE
145,29,2,1,Insecticide,1,2013,AGROPYRON REPENS,0.6,514.858,1,NA,NA,NA,1.894,47.473,FALSE
146,29,2,1,Insecticide,1,2013,ARISTIDA BASIRAMEA,14.6,514.858,1,NA,NA,NA,1.894,47.473,FALSE
147,29,2,1,Insecticide,1,2009,ARISTIDA BASIRAMEA,10.1,272.04,NA,NA,NA,NA,1.894,47.473,FALSE
148,29,2,1,Insecticide,1,2009,CYPERUS SP.,1.7,272.04,NA,NA,NA,NA,1.894,47.473,FALSE
149,29,3,1,Control,1,2009,MISCELLANEOUS LITTER,NA,NA,10,NA,NA,NA,1.894,47.473,FALSE
150,29,3,1,Control,1,2009,RUMEX ACETOSELLA,3.7,596.88,3,NA,NA,NA,1.894,47.473,FALSE
151,29,3,1,Control,1,2009,ERIGERON CANADENSIS,NA,NA,6,NA,NA,NA,1.894,47.473,FALSE
152,29,3,1,Control,1,2013,RUMEX ACETOSELLA,1.66,419.751,NA,NA,NA,NA,1.894,47.473,FALSE
153,29,3,1,Control,1,2010,BOUTELOUA GRACILIS,0.6,289.45,NA,NA,NA,NA,1.894,47.473,FALSE
154,29,3,1,Control,1,2011,TARAXICUM OFFICINALIS,NA,NA,10,NA,NA,NA,1.894,47.473,FALSE
155,29,3,1,Control,1,2011,Poapr,2.4,275,NA,NA,NA,NA,1.894,47.473,FALSE
156,29,3,1,Control,1,2010,AGROSTIS SCABRA,10.3,289.45,NA,NA,NA,NA,1.894,47.473,FALSE
157,29,3,1,Control,1,2009,CYPERUS SP.,0.7,596.88,NA,NA,NA,NA,1.894,47.473,FALSE
158,29,2,1,Insecticide,1,2008,Achmi,NA,NA,3,NA,NA,NA,1.894,47.473,FALSE
159,29,2,1,Insecticide,1,2009,TARAXICUM OFFICINALIS,0.8,272.04,NA,NA,NA,NA,1.894,47.473,FALSE
160,29,2,1,Insecticide,1,2013,BERTEROA INCANA,NA,NA,1,NA,NA,NA,1.894,47.473,FALSE
161,29,2,1,Insecticide,1,2013,CREPIS TECTORUM,NA,NA,1,NA,NA,NA,1.894,47.473,FALSE
162,29,2,1,Insecticide,1,2008,Luppe,NA,NA,16,NA,NA,NA,1.894,47.473,FALSE
163,29,2,1,Insecticide,1,2008,AGROPYRON REPENS,NA,NA,2,NA,NA,NA,1.894,47.473,FALSE
164,29,2,1,Insecticide,1,2008,BARE GROUND,NA,NA,40,NA,NA,NA,1.894,47.473,FALSE
165,29,2,1,Insecticide,1,2008,Lesca,NA,NA,9,NA,NA,NA,1.894,47.473,TRUE
166,29,2,1,Insecticide,1,2009,Lesca,4.7,272.04,NA,NA,NA,NA,1.894,47.473,TRUE
167,29,2,1,Insecticide,1,2008,MISCELLANEOUS GRASSES,NA,NA,24,NA,NA,NA,1.894,47.473,FALSE
168,29,2,1,Insecticide,1,2008,TARAXICUM OFFICINALIS,NA,NA,6,NA,NA,NA,1.894,47.473,FALSE
169,29,2,1,Insecticide,1,2008,UNSORTED BIOMASS,98.9,NA,NA,NA,NA,NA,1.894,47.473,FALSE
170,29,2,1,Insecticide,1,2009,Schsc,0.03,272.04,NA,NA,NA,NA,1.894,47.473,FALSE
171,29,2,1,Insecticide,1,2009,Luppe,1.7,272.04,NA,NA,NA,NA,1.894,47.473,FALSE
172,29,2,1,Insecticide,1,2011,CYPERUS SP.,8.4,372.86,25,NA,NA,NA,1.894,47.473,FALSE
173,29,5,1,FoliarFungicide,1,2011,Luppe,0.1,531.09,NA,NA,NA,NA,1.894,47.473,FALSE
174,29,5,1,FoliarFungicide,1,2011,MISCELLANEOUS LITTER,NA,NA,5,NA,NA,NA,1.894,47.473,FALSE
175,29,5,1,FoliarFungicide,1,2007,RUMEX ACETOSELLA,0.8,NA,NA,NA,NA,NA,1.894,47.473,FALSE
176,29,5,1,FoliarFungicide,1,2009,ERIGERON CANADENSIS,NA,NA,3,NA,NA,NA,1.894,47.473,FALSE
177,29,5,1,FoliarFungicide,1,2013,Poapr,13.6,263.106,1,NA,NA,NA,1.894,47.473,FALSE
178,29,5,1,FoliarFungicide,1,2009,Koecr,NA,NA,4,NA,NA,NA,1.894,47.473,FALSE
179,29,5,1,FoliarFungicide,1,2008,UNSORTED BIOMASS,117.5,NA,NA,NA,NA,NA,1.894,47.473,FALSE
180,29,1,1,AllPesticides,1,2013,Monfi,NA,NA,1,NA,NA,NA,1.894,47.473,FALSE
181,29,1,1,AllPesticides,1,2013,Petpu,NA,NA,1,NA,NA,NA,1.894,47.473,FALSE
182,29,1,1,AllPesticides,1,2013,Poapr,0.63,710.5,2,NA,NA,NA,1.894,47.473,FALSE
183,29,1,1,AllPesticides,1,2013,RUMEX ACETOSELLA,0.34,710.5,3,NA,NA,NA,1.894,47.473,FALSE
184,29,1,1,AllPesticides,1,2013,Schsc,0.15,710.5,NA,NA,NA,NA,1.894,47.473,FALSE
185,29,1,1,AllPesticides,1,2013,SOLIDAGO RIGIDA,0.15,710.5,NA,NA,NA,NA,1.894,47.473,FALSE
186,29,4,1,SoilDrenchFungicide,1,2009,Lesca,81.9,138.65,40,NA,NA,NA,1.894,47.473,TRUE
187,29,4,1,SoilDrenchFungicide,1,2009,RUMEX ACETOSELLA,0.6,138.65,10,NA,NA,NA,1.894,47.473,FALSE
188,29,4,1,SoilDrenchFungicide,1,2010,CYPERUS SP.,1.3,355.23,NA,NA,NA,NA,1.894,47.473,FALSE
189,29,2,1,Insecticide,1,2009,EUPHORBIA GLYPTOSPERMA,0.06,272.04,NA,NA,NA,NA,1.894,47.473,FALSE
190,29,2,1,Insecticide,1,2010,BARE GROUND,NA,NA,26,NA,NA,NA,1.894,47.473,FALSE
191,29,2,1,Insecticide,1,2010,BOUTELOUA GRACILIS,NA,NA,2,NA,NA,NA,1.894,47.473,FALSE
192,29,2,1,Insecticide,1,2010,CREPIS TECTORUM,NA,NA,15,NA,NA,NA,1.894,47.473,FALSE
193,29,2,1,Insecticide,1,2010,CYPERUS FILICULMIS,4.3,180.91,NA,NA,NA,NA,1.894,47.473,FALSE
194,29,2,1,Insecticide,1,2010,ERIGERON CANADENSIS,3.1,180.91,NA,NA,NA,NA,1.894,47.473,FALSE
195,29,2,1,Insecticide,1,2010,ERIGERON SP.,NA,NA,3,NA,NA,NA,1.894,47.473,FALSE
197,29,2,1,Insecticide,1,2013,Petpu,NA,NA,1,NA,NA,NA,1.894,47.473,FALSE
198,29,4,1,SoilDrenchFungicide,1,2010,TRADESCANTIA OCCIDENTALIS,0.8,355.23,NA,NA,NA,NA,1.894,47.473,FALSE
199,29,4,1,SoilDrenchFungicide,1,2010,BARE GROUND,NA,NA,55,NA,NA,NA,1.894,47.473,FALSE
200,29,4,1,SoilDrenchFungicide,1,2010,CYPERUS FILICULMIS,2.7,355.23,NA,NA,NA,NA,1.894,47.473,FALSE
201,29,4,1,SoilDrenchFungicide,1,2009,Schsc,0.1,138.65,NA,NA,NA,NA,1.894,47.473,FALSE
202,29,4,1,SoilDrenchFungicide,1,2009,Poapr,0.4,138.65,7,NA,NA,NA,1.894,47.473,FALSE
203,29,4,1,SoilDrenchFungicide,1,2013,ARISTIDA BASIRAMEA,4,394.741,1,NA,NA,NA,1.894,47.473,FALSE
204,29,4,1,SoilDrenchFungicide,1,2011,ARISTIDA BASIRAMEA,61.1,167.43,3,NA,NA,NA,1.894,47.473,FALSE
205,29,4,1,SoilDrenchFungicide,1,2011,BARE GROUND,NA,NA,36,NA,NA,NA,1.894,47.473,FALSE
206,29,4,1,SoilDrenchFungicide,1,2009,CYPERUS SP.,0.2,138.65,NA,NA,NA,NA,1.894,47.473,FALSE
207,29,1,1,AllPesticides,1,2008,Lesca,NA,NA,7,NA,NA,NA,1.894,47.473,TRUE
208,29,1,1,AllPesticides,1,2008,AGROPYRON REPENS,NA,NA,2,NA,NA,NA,1.894,47.473,FALSE
209,29,1,1,AllPesticides,1,2010,Lesca,123.2,450.62,45,NA,NA,NA,1.894,47.473,TRUE
210,29,1,1,AllPesticides,1,2008,BOUTELOUA GRACILIS,NA,NA,3,NA,NA,NA,1.894,47.473,FALSE
211,29,1,1,AllPesticides,1,2010,MISCELLANEOUS GRASSES,NA,NA,5,NA,NA,NA,1.894,47.473,FALSE
212,29,1,1,AllPesticides,1,2010,ARISTIDA BASIRAMEA,8.2,450.62,NA,NA,NA,NA,1.894,47.473,FALSE
213,29,1,1,AllPesticides,1,2012,AGROPYRON REPENS,3.3,894.74,NA,NA,NA,NA,1.894,47.473,FALSE
214,29,1,1,AllPesticides,1,2009,Petpu,66.1,172.53,NA,NA,NA,NA,1.894,47.473,FALSE
215,29,1,1,AllPesticides,1,2008,CYPERUS SCHWEINITZII,NA,NA,1,NA,NA,NA,1.894,47.473,FALSE
216,29,1,1,AllPesticides,1,2009,Poapr,0.3,172.53,NA,NA,NA,NA,1.894,47.473,FALSE
217,29,1,1,AllPesticides,1,2008,BERTEROA INCANA,NA,NA,1,NA,NA,NA,1.894,47.473,FALSE
218,29,1,1,AllPesticides,1,2010,MISCELLANEOUS LITTER,NA,NA,11,NA,NA,NA,1.894,47.473,FALSE
220,29,1,1,AllPesticides,1,2009,Achmi,4.5,172.53,NA,NA,NA,NA,1.894,47.473,FALSE
