BigBioPlot,ER244.Plot,PlantSpNum,FieldColorCode,Insecticide,SoilDrenchFungicide,FoliarFungicide,TreatmentName
110,47,4,G,0,0,0,Control
110,48,4,W,1,0,0,Insecticide
110,49,4,O,0,0,1,FoliarFungicide
110,50,4,Y,1,1,1,AllPesticides
137,51,1,G,0,0,0,Control
137,52,1,R,0,1,0,SoilDrenchFungicide
137,53,1,O,0,0,1,FoliarFungicide
137,54,1,W,1,0,0,Insecticide
137,55,1,Y,1,1,1,AllPesticides
138,56,4,O,0,0,1,FoliarFungicide
138,57,4,W,1,0,0,Insecticide
138,58,4,R,0,1,0,SoilDrenchFungicide
138,59,4,G,0,0,0,Control
138,60,4,Y,1,1,1,AllPesticides
167,61,1,W,1,0,0,Insecticide
167,62,1,O,0,0,1,FoliarFungicide
167,63,1,R,0,1,0,SoilDrenchFungicide
167,64,1,G,0,0,0,Control
167,65,1,Y,1,1,1,AllPesticides
176,66,4,R,0,1,0,SoilDrenchFungicide
176,67,4,Y,1,1,1,AllPesticides
176,68,4,W,1,0,0,Insecticide
176,69,4,G,0,0,0,Control
176,70,4,O,0,0,1,FoliarFungicide
201,71,4,R,0,1,0,SoilDrenchFungicide
201,72,4,O,0,0,1,FoliarFungicide
201,73,4,Y,1,1,1,AllPesticides
201,74,4,W,1,0,0,Insecticide
201,75,4,G,0,0,0,Control
202,76,16,O,0,0,1,FoliarFungicide
202,77,16,W,1,0,0,Insecticide
202,78,16,G,0,0,0,Control
202,79,16,Y,1,1,1,AllPesticides
202,80,16,R,0,1,0,SoilDrenchFungicide
220,81,16,W,1,0,0,Insecticide
220,82,16,G,0,0,0,Control
220,83,16,R,0,1,0,SoilDrenchFungicide
220,84,16,Y,1,1,1,AllPesticides
220,85,16,O,0,0,1,FoliarFungicide
223,86,4,W,1,0,0,Insecticide
223,87,4,G,0,0,0,Control
223,88,4,O,0,0,1,FoliarFungicide
223,89,4,R,0,1,0,SoilDrenchFungicide
223,90,4,Y,1,1,1,AllPesticides
229,91,4,W,1,0,0,Insecticide
229,92,4,R,0,1,0,SoilDrenchFungicide
229,93,4,G,0,0,0,Control
229,94,4,O,0,0,1,FoliarFungicide
229,95,4,Y,1,1,1,AllPesticides
230,96,1,Y,1,1,1,AllPesticides
230,97,1,W,1,0,0,Insecticide
230,98,1,G,0,0,0,Control
230,99,1,O,0,0,1,FoliarFungicide
230,100,1,R,0,1,0,SoilDrenchFungicide
233,101,4,R,0,1,0,SoilDrenchFungicide
233,102,4,Y,1,1,1,AllPesticides
233,103,4,O,0,0,1,FoliarFungicide
233,104,4,G,0,0,0,Control
233,105,4,W,1,0,0,Insecticide
237,106,1,R,0,1,0,SoilDrenchFungicide
237,107,1,G,0,0,0,Control
237,108,1,W,1,0,0,Insecticide
237,109,1,Y,1,1,1,AllPesticides
237,110,1,O,0,0,1,FoliarFungicide
249,111,32,O,0,0,1,FoliarFungicide
249,112,32,R,0,1,0,SoilDrenchFungicide
249,113,32,Y,1,1,1,AllPesticides
249,114,32,G,0,0,0,Control
249,115,32,W,1,0,0,Insecticide
253,116,16,R,0,1,0,SoilDrenchFungicide
253,117,16,O,0,0,1,FoliarFungicide
253,118,16,G,0,0,0,Control
253,119,16,Y,1,1,1,AllPesticides
253,120,16,W,1,0,0,Insecticide
256,121,1,R,0,1,0,SoilDrenchFungicide
256,122,1,O,0,0,1,FoliarFungicide
256,123,1,G,0,0,0,Control
256,124,1,W,1,0,0,Insecticide
256,125,1,Y,1,1,1,AllPesticides
262,126,32,G,0,0,0,Control
262,127,32,Y,1,1,1,AllPesticides
262,128,32,R,0,1,0,SoilDrenchFungicide
262,129,32,O,0,0,1,FoliarFungicide
262,130,32,W,1,0,0,Insecticide
268,131,1,Y,1,1,1,AllPesticides
268,132,1,G,0,0,0,Control
268,133,1,W,1,0,0,Insecticide
268,134,1,O,0,0,1,FoliarFungicide
268,135,1,R,0,1,0,SoilDrenchFungicide
273,136,16,Y,1,1,1,AllPesticides
273,137,16,W,1,0,0,Insecticide
273,138,16,G,0,0,0,Control
273,139,16,R,0,1,0,SoilDrenchFungicide
273,140,16,O,0,0,1,FoliarFungicide
280,141,1,O,0,0,1,FoliarFungicide
280,142,1,G,0,0,0,Control
280,143,1,R,0,1,0,SoilDrenchFungicide
280,144,1,W,1,0,0,Insecticide
280,145,1,Y,1,1,1,AllPesticides
282,146,1,W,1,0,0,Insecticide
282,147,1,Y,1,1,1,AllPesticides
282,148,1,G,0,0,0,Control
282,149,1,O,0,0,1,FoliarFungicide
282,150,1,R,0,1,0,SoilDrenchFungicide
286,151,4,Y,1,1,1,AllPesticides
286,152,4,O,0,0,1,FoliarFungicide
286,153,4,R,0,1,0,SoilDrenchFungicide
286,154,4,G,0,0,0,Control
286,155,4,W,1,0,0,Insecticide
290,156,2,Y,1,1,1,AllPesticides
290,157,2,O,0,0,1,FoliarFungicide
290,158,2,G,0,0,0,Control
290,159,2,W,1,0,0,Insecticide
290,160,2,R,0,1,0,SoilDrenchFungicide
291,161,1,Y,1,1,1,AllPesticides
291,162,1,W,1,0,0,Insecticide
291,163,1,O,0,0,1,FoliarFungicide
291,164,1,R,0,1,0,SoilDrenchFungicide
291,165,1,G,0,0,0,Control
295,166,32,Y,1,1,1,AllPesticides
295,167,32,G,0,0,0,Control
295,168,32,O,0,0,1,FoliarFungicide
295,169,32,R,0,1,0,SoilDrenchFungicide
295,170,32,W,1,0,0,Insecticide
299,171,16,W,1,0,0,Insecticide
299,172,16,G,0,0,0,Control
299,173,16,Y,1,1,1,AllPesticides
299,174,16,R,0,1,0,SoilDrenchFungicide
299,175,16,O,0,0,1,FoliarFungicide
301,176,16,G,0,0,0,Control
301,177,16,O,0,0,1,FoliarFungicide
301,178,16,R,0,1,0,SoilDrenchFungicide
301,179,16,W,1,0,0,Insecticide
301,180,16,Y,1,1,1,AllPesticides
308,181,1,W,1,0,0,Insecticide
308,182,1,O,0,0,1,FoliarFungicide
308,183,1,Y,1,1,1,AllPesticides
308,184,1,G,0,0,0,Control
308,185,1,R,0,1,0,SoilDrenchFungicide
325,186,4,W,1,0,0,Insecticide
325,187,4,O,0,0,1,FoliarFungicide
325,188,4,Y,1,1,1,AllPesticides
325,189,4,R,0,1,0,SoilDrenchFungicide
325,190,4,G,0,0,0,Control
328,191,16,O,0,0,1,FoliarFungicide
328,192,16,R,0,1,0,SoilDrenchFungicide
328,193,16,G,0,0,0,Control
328,194,16,Y,1,1,1,AllPesticides
328,195,16,W,1,0,0,Insecticide
333,196,1,R,0,1,0,SoilDrenchFungicide
333,197,1,W,1,0,0,Insecticide
333,198,1,Y,1,1,1,AllPesticides
333,199,1,O,0,0,1,FoliarFungicide
333,200,1,G,0,0,0,Control
338,201,2,O,0,0,1,FoliarFungicide
338,202,2,Y,1,1,1,AllPesticides
338,203,2,G,0,0,0,Control
338,204,2,R,0,1,0,SoilDrenchFungicide
338,205,2,W,1,0,0,Insecticide
