Experiment,Year,Date,Plot,Treatment,Species,Mass(g),Mass g/m^2)
E244,2010,12/9/10,24,Control,Roots,7.17,1179.18
E244,2010,12/7/10,29,Control,Roots,1.73,284.52
E244,2010,12/7/10,32,Control,Roots,3.12,513.12
E244,2010,12/9/10,37,Control,Roots,4.57,751.58
E244,2010,12/7/10,44,Control,Roots,3.07,504.89
E244,2010,12/7/10,47,Control,Roots,7.18,1180.82
E244,2010,12/9/10,51,Control,Roots,4.61,758.16
E244,2010,12/9/10,166,AllPesticides,Roots,8.06,1325.55
E244,2010,12/9/10,64,Control,Roots,0.59,97.03
E244,2010,12/7/10,118,Control,Roots,4.67,768.03
E244,2010,12/9/10,75,Control,Roots,3.98,654.55
E244,2010,12/7/10,78,Control,Roots,8.68,1427.51
E244,2010,12/7/10,82,Control,Roots,7.08,1164.38
E244,2010,12/7/10,202,AllPesticides,Roots,3.99,656.2
E244,2010,12/9/10,198,AllPesticides,Roots,1.2,197.35
E244,2010,12/9/10,194,AllPesticides,Roots,4.11,675.93
E244,2010,12/7/10,87,Control,Roots,8.84,1453.83
E244,2010,12/9/10,188,AllPesticides,Roots,4.83,794.34
E244,2010,12/7/10,183,AllPesticides,Roots,1.21,199
E244,2010,12/7/10,93,Control,Roots,4.25,698.96
E244,2010,12/7/10,180,AllPesticides,Roots,9.1,1496.59
E244,2010,12/9/10,59,Control,Roots,2.62,430.89
E244,2010,12/9/10,172,Control,Roots,6.88,1131.49
E244,2010,12/7/10,158,Control,Roots,0.61,100.32
E244,2010,12/9/10,50,AllPesticides,Roots,6.52,1072.28
E244,2010,12/9/10,42,AllPesticides,Roots,2.95,485.16
E244,2010,12/9/10,165,Control,Roots,4.74,779.54
E244,2010,12/7/10,36,AllPesticides,Roots,5.01,823.95
E244,2010,12/9/10,167,Control,Roots,8.33,1369.95
E244,2010,12/7/10,34,AllPesticides,Roots,10.16,1670.92
E244,2010,12/9/10,79,AllPesticides,Roots,9.41,1547.57
E244,2010,12/7/10,55,AllPesticides,Roots,6.59,1083.79
E244,2010,12/7/10,20,AllPesticides,Roots,8.94,1470.27
E244,2010,12/9/10,26,AllPesticides,Roots,2.34,384.84
E244,2010,12/9/10,12,AllPesticides,Roots,1.71,281.23
E244,2010,12/9/10,8,AllPesticides,Roots,4.91,807.5
E244,2010,12/7/10,176,Control,Roots,8.14,1338.71
E244,2010,12/8/10,1,AllPesticides,Roots,2.74,450.62
E244,2010,12/7/10,184,Control,Roots,0.61,100.32
E244,2010,12/8/10,190,Control,Roots,4.83,794.34
E244,2010,12/7/10,193,Control,Roots,9.47,1557.44
E244,2010,12/9/10,200,Control,Roots,3.63,596.99
E244,2010,12/9/10,203,Control,Roots,1.61,264.78
E244,2010,12/7/10,23,AllPesticides,Roots,10.97,1804.13
E244,2010,12/9/10,73,AllPesticides,Roots,10.83,1781.1
E244,2010,12/9/10,148,Control,Roots,5.68,934.13
E244,2010,12/7/10,65,AllPesticides,Roots,0.5,82.23
E244,2010,12/7/10,154,Control,Roots,2.63,432.53
E244,2010,12/9/10,67,AllPesticides,Roots,3.92,644.68
E244,2010,12/9/10,60,AllPesticides,Roots,4.64,763.1
E244,2011,12/13/11,64,Control,Roots,0.601,98.85
E244,2011,12/13/11,189,SoilDrenchFungicide,Roots,4.681,769.9
E244,2011,12/13/11,47,Control,Roots,10.523,1730.76
E244,2011,12/13/11,190,Control,Roots,4.888,803.95
E244,2011,12/13/11,51,Control,Roots,8.86,1457.24
E244,2011,12/13/11,78,Control,Roots,9.815,1614.31
E244,2011,12/13/11,22,SoilDrenchFungicide,Roots,3.669,603.45
E244,2011,12/13/11,59,Control,Roots,2.463,405.1
E244,2011,12/13/11,204,SoilDrenchFungicide,Roots,0.745,122.53
E244,2011,12/13/11,83,SoilDrenchFungicide,Roots,10.911,1794.57
E244,2011,12/13/11,184,Control,Roots,1.359,223.52
E244,2011,12/13/11,6,FoliarFungicide,Roots,3.73,613.49
E244,2011,12/13/11,192,SoilDrenchFungicide,Roots,7.971,1311.02
E244,2011,12/13/11,13,FoliarFungicide,Roots,0.429,70.56
E244,2011,12/13/11,196,SoilDrenchFungicide,Roots,0.755,124.18
E244,2011,12/13/11,27,SoilDrenchFungicide,Roots,2.066,339.8
E244,2011,12/13/11,69,Control,Roots,3.121,513.32
E244,2011,12/13/11,75,Control,Roots,4.927,810.36
E244,2011,12/13/11,5,FoliarFungicide,Roots,3.229,531.09
E244,2011,12/13/11,200,Control,Roots,1.603,263.65
E244,2011,12/13/11,203,Control,Roots,1.751,287.99
E244,2011,12/13/11,80,SoilDrenchFungicide,Roots,7.885,1296.88
E244,2011,12/13/11,40,FoliarFungicide,Roots,17.331,2850.49
E244,2011,12/13/11,9,Control,Roots,5.193,854.11
E244,2011,12/13/11,33,FoliarFungicide,Roots,13.192,2169.74
E244,2011,12/13/11,15,Control,Roots,0.945,155.43
E244,2011,12/13/11,10,SoilDrenchFungicide,Roots,3.899,641.28
E244,2011,12/13/11,11,SoilDrenchFungicide,Roots,0.383,62.99
E244,2011,12/13/11,17,Control,Roots,8.237,1354.77
E244,2011,12/13/11,71,SoilDrenchFungicide,Roots,6.395,1051.81
E244,2011,12/13/11,30,FoliarFungicide,Roots,2.237,367.93
E244,2011,12/13/11,138,Control,Roots,15.852,2607.24
E244,2011,12/13/11,21,FoliarFungicide,Roots,7.477,1229.77
E244,2011,12/13/11,29,Control,Roots,1.698,279.28
E244,2011,12/13/11,148,Control,Roots,1.256,206.58
E244,2011,12/13/11,18,SoilDrenchFungicide,Roots,2.34,384.87
E244,2011,12/13/11,16,FoliarFungicide,Roots,7.973,1311.35
E244,2011,12/13/11,32,Control,Roots,3.314,545.07
E244,2011,12/13/11,193,Control,Roots,6.663,1095.89
E244,2011,12/13/11,37,Control,Roots,4.954,814.8
E244,2011,12/13/11,44,Control,Roots,3.499,575.49
E244,2011,12/13/11,142,Control,Roots,1.786,293.75
E244,2011,12/13/11,24,Control,Roots,6.147,1011.02
E244,2011,12/13/11,52,SoilDrenchFungicide,Roots,4.097,673.85
E244,2011,12/13/11,82,Control,Roots,3.906,642.43
E244,2011,12/13/11,107,Control,Roots,1.696,278.95
E244,2011,12/13/11,139,SoilDrenchFungicide,Roots,13.027,2142.6
E244,2011,12/13/11,46,SoilDrenchFungicide,Roots,6.043,993.91
E244,2011,12/13/11,63,SoilDrenchFungicide,Roots,1.238,203.62
E244,2011,12/13/11,135,SoilDrenchFungicide,Roots,0.814,133.88
E244,2011,12/13/11,165,Control,Roots,1.587,261.02
E244,2011,12/13/11,128,SoilDrenchFungicide,Roots,7.048,1159.21
E244,2011,12/13/11,121,SoilDrenchFungicide,Roots,1.524,250.66
E244,2011,12/13/11,66,SoilDrenchFungicide,Roots,4.036,663.82
E244,2011,12/13/11,114,Control,Roots,10.913,1794.9
E244,2011,12/13/11,150,SoilDrenchFungicide,Roots,2.255,370.89
E244,2011,12/13/11,38,SoilDrenchFungicide,Roots,7.226,1188.49
E244,2011,12/13/11,126,Control,Roots,6.728,1106.58
E244,2011,12/13/11,4,SoilDrenchFungicide,Roots,1.018,167.43
E244,2011,12/13/11,112,SoilDrenchFungicide,Roots,4.957,815.3
E244,2011,12/13/11,118,Control,Roots,3.83,629.93
E244,2011,12/13/11,158,Control,Roots,2.125,349.51
E244,2011,12/13/11,123,Control,Roots,2.974,489.14
E244,2011,12/13/11,106,SoilDrenchFungicide,Roots,1.041,171.22
E244,2011,12/13/11,58,SoilDrenchFungicide,Roots,2.032,334.21
E244,2011,12/13/11,154,Control,Roots,7.624,1253.95
E244,2011,12/13/11,92,SoilDrenchFungicide,Roots,9.375,1541.94
E244,2011,12/13/11,93,Control,Roots,1.159,190.63
E244,2011,12/13/11,176,Control,Roots,7.115,1170.23
E244,2011,12/13/11,101,SoilDrenchFungicide,Roots,3.774,620.72
E244,2011,12/13/11,185,SoilDrenchFungicide,Roots,1.963,322.86
E244,2011,12/13/11,89,SoilDrenchFungicide,Roots,1.014,166.78
E244,2011,12/13/11,132,Control,Roots,2.496,410.53
E244,2011,12/13/11,178,SoilDrenchFungicide,Roots,7.855,1291.94
E244,2011,12/13/11,87,Control,Roots,1.096,180.26
E244,2011,12/13/11,172,Control,Roots,8.21,1350.33
E244,2011,12/13/11,143,SoilDrenchFungicide,Roots,0.897,147.53
E244,2011,12/13/11,116,SoilDrenchFungicide,Roots,3.523,579.44
E244,2011,12/13/11,31,SoilDrenchFungicide,Roots,10.305,1694.9
E244,2011,12/13/11,169,SoilDrenchFungicide,Roots,5.434,893.75
E244,2011,12/13/11,167,Control,Roots,3.751,616.94
E244,2011,12/13/11,45,SoilDrenchFungicide,Roots,3.513,577.8
E244,2011,12/13/11,98,Control,Roots,2.852,469.08
E244,2011,12/13/11,164,SoilDrenchFungicide,Roots,2.397,394.24
E244,2011,12/13/11,104,Control,Roots,1.798,295.72
E244,2011,12/13/11,160,SoilDrenchFungicide,Roots,1.453,238.98
E244,2011,12/13/11,100,SoilDrenchFungicide,Roots,3.978,654.28
E244,2011,12/13/11,153,SoilDrenchFungicide,Roots,4.159,684.05
E244,2011,12/13/11,174,SoilDrenchFungicide,Roots,8.559,1407.73
E244,2011,12/13/11,186,Insecticide,Roots,4.421,727.14
E244,2011,12/13/11,146,Insecticide,Roots,3.648,600
E244,2011,12/13/11,155,Insecticide,Roots,2.273,373.85
E244,2011,12/13/11,159,Insecticide,Roots,1.302,214.14
E244,2011,12/13/11,162,Insecticide,Roots,2.514,413.49
E244,2011,12/13/11,170,Insecticide,Roots,10.647,1751.15
E244,2011,12/13/11,171,Insecticide,Roots,8.383,1378.78
E244,2011,12/13/11,48,Insecticide,Roots,7.878,1295.72
E244,2011,12/13/11,181,Insecticide,Roots,2.033,334.38
E244,2011,12/13/11,133,Insecticide,Roots,4.074,670.07
E244,2011,12/13/11,195,Insecticide,Roots,3.839,631.41
E244,2011,12/13/11,43,FoliarFungicide,Roots,3.776,621.05
E244,2011,12/13/11,205,Insecticide,Roots,2.126,349.67
E244,2011,12/13/11,140,FoliarFungicide,Roots,7.654,1258.88
E244,2011,12/13/11,1,AllPesticides,Roots,3.031,498.52
E244,2011,12/13/11,8,AllPesticides,Roots,3.352,551.32
E244,2011,12/13/11,12,AllPesticides,Roots,1.617,265.95
E244,2011,12/13/11,179,Insecticide,Roots,4.841,796.22
E244,2011,12/13/11,97,Insecticide,Roots,3.593,590.95
E244,2011,12/13/11,54,Insecticide,Roots,10.412,1712.5
E244,2011,12/13/11,57,Insecticide,Roots,4.408,725
E244,2011,12/13/11,61,Insecticide,Roots,1.968,323.68
E244,2011,12/13/11,68,Insecticide,Roots,2.122,349.01
E244,2011,12/13/11,74,Insecticide,Roots,16.912,2781.58
E244,2011,12/13/11,77,Insecticide,Roots,14.678,2414.14
E244,2011,12/13/11,81,Insecticide,Roots,14.303,2352.47
E244,2011,12/13/11,144,Insecticide,Roots,1.941,319.24
E244,2011,12/13/11,91,Insecticide,Roots,8.307,1366.28
E244,2011,12/13/11,137,Insecticide,Roots,4.454,732.57
E244,2011,12/13/11,105,Insecticide,Roots,3.291,541.28
E244,2011,12/13/11,108,Insecticide,Roots,1.842,302.96
E244,2011,12/13/11,115,Insecticide,Roots,9.717,1598.19
E244,2011,12/13/11,120,Insecticide,Roots,8.131,1337.34
E244,2011,12/13/11,124,Insecticide,Roots,2.296,377.63
E244,2011,12/13/11,130,Insecticide,Roots,8.791,1445.89
E244,2011,12/13/11,26,AllPesticides,Roots,4.881,802.8
E244,2011,12/13/11,86,Insecticide,Roots,1.616,265.79
E244,2011,12/13/11,166,AllPesticides,Roots,12.588,2070.39
E244,2011,12/13/11,20,AllPesticides,Roots,7.317,1203.45
E244,2011,12/13/11,127,AllPesticides,Roots,6.778,1114.8
E244,2011,12/13/11,131,AllPesticides,Roots,2.887,474.84
E244,2011,12/13/11,136,AllPesticides,Roots,12.343,2030.1
E244,2011,12/13/11,145,AllPesticides,Roots,3.381,556.09
E244,2011,12/13/11,147,AllPesticides,Roots,3.981,654.77
E244,2011,12/13/11,151,AllPesticides,Roots,3.962,651.64
E244,2011,12/13/11,119,AllPesticides,Roots,31.651,5205.76
E244,2011,12/13/11,161,AllPesticides,Roots,2.999,493.26
E244,2011,12/13/11,113,AllPesticides,Roots,4.466,734.54
E244,2011,12/13/11,173,AllPesticides,Roots,15.781,2595.56
E244,2011,12/13/11,180,AllPesticides,Roots,11.553,1900.16
E244,2011,12/13/11,183,AllPesticides,Roots,1.745,287.01
E244,2011,12/13/11,188,AllPesticides,Roots,8.569,1409.38
E244,2011,12/13/11,194,AllPesticides,Roots,13.808,2271.05
E244,2011,12/13/11,198,AllPesticides,Roots,0.333,54.77
E244,2011,12/13/11,202,AllPesticides,Roots,2.979,489.97
E244,2011,12/13/11,156,AllPesticides,Roots,0.943,155.1
E244,2011,12/13/11,73,AllPesticides,Roots,11.774,1936.51
E244,2011,12/13/11,197,Insecticide,Roots,1.385,227.8
E244,2011,12/13/11,34,AllPesticides,Roots,5.252,863.82
E244,2011,12/13/11,36,AllPesticides,Roots,10.385,1708.06
E244,2011,12/13/11,42,AllPesticides,Roots,3.555,584.7
E244,2011,12/13/11,50,AllPesticides,Roots,17.744,2918.42
E244,2011,12/13/11,55,AllPesticides,Roots,3.834,630.59
E244,2011,12/13/11,60,AllPesticides,Roots,9.827,1616.28
E244,2011,12/13/11,125,AllPesticides,Roots,3.471,570.89
E244,2011,12/13/11,67,AllPesticides,Roots,35.32,5809.21
E244,2011,12/13/11,23,AllPesticides,Roots,5.175,851.15
E244,2011,12/13/11,79,AllPesticides,Roots,9.835,1617.6
E244,2011,12/13/11,84,AllPesticides,Roots,16.104,2648.68
E244,2011,12/13/11,90,AllPesticides,Roots,0.98,161.18
E244,2011,12/13/11,95,AllPesticides,Roots,3.324,546.71
E244,2011,12/13/11,96,AllPesticides,Roots,3.953,650.16
E244,2011,12/13/11,102,AllPesticides,Roots,4.954,814.8
E244,2011,12/13/11,109,AllPesticides,Roots,1.425,234.38
E244,2011,12/13/11,65,AllPesticides,Roots,3.861,635.03
E244,2011,12/13/11,110,FoliarFungicide,Roots,2.4,394.74
E244,2011,12/13/11,177,FoliarFungicide,Roots,5.412,890.13
E244,2011,12/13/11,175,FoliarFungicide,Roots,11.911,1959.05
E244,2011,12/13/11,168,FoliarFungicide,Roots,11.668,1919.08
E244,2011,12/13/11,163,FoliarFungicide,Roots,4.467,734.7
E244,2011,12/13/11,157,FoliarFungicide,Roots,2.758,453.62
E244,2011,12/13/11,152,FoliarFungicide,Roots,4.896,805.26
E244,2011,12/13/11,41,Insecticide,Roots,2.296,377.63
E244,2011,12/13/11,141,FoliarFungicide,Roots,1.502,247.04
E244,2011,12/13/11,3,Control,Roots,1.672,275
E244,2011,12/13/11,134,FoliarFungicide,Roots,3.016,496.05
E244,2011,12/13/11,129,FoliarFungicide,Roots,12.593,2071.22
E244,2011,12/13/11,122,FoliarFungicide,Roots,4.337,713.32
E244,2011,12/13/11,182,FoliarFungicide,Roots,1.832,301.32
E244,2011,12/13/11,111,FoliarFungicide,Roots,12.33,2027.96
E244,2011,12/13/11,149,FoliarFungicide,Roots,1.738,285.86
E244,2011,12/13/11,103,FoliarFungicide,Roots,4.422,727.3
E244,2011,12/13/11,99,FoliarFungicide,Roots,3.994,656.91
E244,2011,12/13/11,94,FoliarFungicide,Roots,2.309,379.77
E244,2011,12/13/11,88,FoliarFungicide,Roots,10.476,1723.03
E244,2011,12/13/11,85,FoliarFungicide,Roots,11.996,1973.03
E244,2011,12/13/11,76,FoliarFungicide,Roots,8.866,1458.22
E244,2011,12/13/11,72,FoliarFungicide,Roots,10.733,1765.3
E244,2011,12/13/11,70,FoliarFungicide,Roots,4.077,670.56
E244,2011,12/13/11,62,FoliarFungicide,Roots,17.835,2933.39
E244,2011,12/13/11,56,FoliarFungicide,Roots,1.078,177.3
E244,2011,12/13/11,53,FoliarFungicide,Roots,5.598,920.72
E244,2011,12/13/11,49,FoliarFungicide,Roots,4.513,742.27
E244,2011,12/13/11,117,FoliarFungicide,Roots,5.39,886.51
E244,2011,12/13/11,39,Insecticide,Roots,5.054,831.25
E244,2011,12/13/11,187,FoliarFungicide,Roots,7.657,1259.38
E244,2011,12/13/11,35,Insecticide,Roots,8.031,1320.89
E244,2011,12/13/11,2,Insecticide,Roots,2.267,372.86
E244,2011,12/13/11,7,Insecticide,Roots,8.128,1336.84
E244,2011,12/13/11,14,Insecticide,Roots,1.267,208.39
E244,2011,12/13/11,25,Insecticide,Roots,6.75,1110.2
E244,2011,12/13/11,28,Insecticide,Roots,3.612,594.08
E244,2011,12/13/11,201,FoliarFungicide,Roots,2.697,443.59
E244,2011,12/13/11,191,FoliarFungicide,Roots,9.214,1515.46
E244,2011,12/13/11,199,FoliarFungicide,Roots,1.299,213.65
E244,2011,12/13/11,19,Insecticide,Roots,7.352,1209.21
E245,2010,12/7/10,1,Insecticide,Roots,5.68,700.63
E245,2010,12/7/10,28,AllPesticides,Roots,5.51,679.66
E245,2010,12/7/10,11,SoilDrenchFungicide,Roots,5.62,693.23
E245,2010,12/6/10,34,AllPesticides,Roots,4.03,497.1
E245,2010,12/7/10,4,SoilDrenchFungicide,Roots,5.83,719.13
E245,2010,12/7/10,26,FoliarFungicide,Roots,5.31,654.99
E245,2010,12/7/10,10,FoliarFungicide,Roots,4.29,529.17
