Exp,Year,Plot,Treatment,Date,Species,Percent Cover
E244,2008,10,SoilDrenchFungicide,15-Oct-08, Petalostemum villosum           ,10
E244,2008,10,SoilDrenchFungicide,15-Oct-08, Schizachyrium scoparium         ,15
E244,2008,10,SoilDrenchFungicide,15-Oct-08, Solidago nemoralis              ,10
E244,2008,11,SoilDrenchFungicide,15-Oct-08, Achillea millefolium(lanulosa)  ,2.5
E244,2008,11,SoilDrenchFungicide,15-Oct-08, Bare ground                     ,52
E244,2008,11,SoilDrenchFungicide,15-Oct-08, Cyperus sp.                     ,1.5
E244,2008,11,SoilDrenchFungicide,15-Oct-08, Grasses                         ,21
E244,2008,11,SoilDrenchFungicide,15-Oct-08, Lespedeza capitata              ,1
E244,2008,11,SoilDrenchFungicide,15-Oct-08, Lupinus perennis                ,9
E244,2008,11,SoilDrenchFungicide,15-Oct-08, Miscellaneous herbs             ,6
E244,2008,11,SoilDrenchFungicide,15-Oct-08, Mosses & lichens                ,2
E244,2008,11,SoilDrenchFungicide,15-Oct-08, Rumex acetosella                ,3
E244,2008,11,SoilDrenchFungicide,15-Oct-08, Taraxicum officinalis           ,2
E244,2008,12,AllPesticides,15-Oct-08, Achillea millefolium(lanulosa)  ,12
E244,2008,12,AllPesticides,15-Oct-08, Bare ground                     ,61
E244,2008,12,AllPesticides,15-Oct-08, Grasses                         ,18
E244,2008,12,AllPesticides,15-Oct-08, Miscellaneous herbs             ,6
E244,2008,12,AllPesticides,15-Oct-08, Mollugo verticillata            ,1
E244,2008,12,AllPesticides,15-Oct-08, Taraxicum officinalis           ,2
E244,2008,13,FoliarFungicide,15-Oct-08, Achillea millefolium(lanulosa)  ,1
E244,2008,13,FoliarFungicide,15-Oct-08, Bare ground                     ,60
E244,2008,13,FoliarFungicide,15-Oct-08, Cyperus sp.                     ,3
E244,2008,13,FoliarFungicide,15-Oct-08, Grasses                         ,19
E244,2008,13,FoliarFungicide,15-Oct-08, Miscellaneous herbs             ,7
E244,2008,13,FoliarFungicide,15-Oct-08, Rumex acetosella                ,8
E244,2008,13,FoliarFungicide,15-Oct-08, Taraxicum officinalis           ,2
E244,2008,14,Insecticide,15-Oct-08, Achillea millefolium(lanulosa)  ,7
E244,2008,14,Insecticide,15-Oct-08, Bare ground                     ,56
E244,2008,14,Insecticide,15-Oct-08, Bouteloua gracilis              ,3
E244,2008,14,Insecticide,15-Oct-08, Cyperus sp.                     ,2
E244,2008,14,Insecticide,15-Oct-08, Grasses                         ,18
E244,2008,14,Insecticide,15-Oct-08, Miscellaneous herbs             ,4
E244,2008,14,Insecticide,15-Oct-08, Mosses & lichens                ,6
E244,2008,14,Insecticide,15-Oct-08, Rumex acetosella                ,4
E244,2008,15,Control,15-Oct-08, Achillea millefolium(lanulosa)  ,1
E244,2008,15,Control,15-Oct-08, Bare ground                     ,63
E244,2008,15,Control,15-Oct-08, Grasses                         ,19
E244,2008,15,Control,15-Oct-08, Miscellaneous herbs             ,3
E244,2008,15,Control,15-Oct-08, Mosses & lichens                ,8
E244,2008,15,Control,15-Oct-08, Rumex acetosella                ,4
E244,2008,15,Control,15-Oct-08, Taraxicum officinalis           ,2
E244,2008,16,FoliarFungicide,15-Oct-08, Achillea millefolium(lanulosa)  ,3
E244,2008,16,FoliarFungicide,15-Oct-08, Andropogon gerardi              ,5
E244,2008,16,FoliarFungicide,15-Oct-08, Bare ground                     ,36
E244,2008,16,FoliarFungicide,15-Oct-08, Bouteloua gracilis              ,12
E244,2008,16,FoliarFungicide,15-Oct-08, Lespedeza capitata              ,2
E244,2008,16,FoliarFungicide,15-Oct-08, Liatris aspera                  ,4
E244,2008,16,FoliarFungicide,15-Oct-08, Lupinus perennis                ,6
E244,2008,16,FoliarFungicide,15-Oct-08, Petalostemum purpureum          ,2
E244,2008,16,FoliarFungicide,15-Oct-08, Petalostemum villosum           ,6
E244,2008,16,FoliarFungicide,15-Oct-08, Schizachyrium scoparium         ,12
E244,2008,16,FoliarFungicide,15-Oct-08, Solidago nemoralis              ,12
E244,2008,17,Control,15-Oct-08, Achillea millefolium(lanulosa)  ,1
E244,2008,17,Control,15-Oct-08, Andropogon gerardi              ,1
E244,2008,17,Control,15-Oct-08, Bare ground                     ,21
E244,2008,17,Control,15-Oct-08, Bouteloua gracilis              ,26
E244,2008,17,Control,15-Oct-08, Lespedeza capitata              ,4
E244,2008,17,Control,15-Oct-08, Liatris aspera                  ,2
E244,2008,17,Control,15-Oct-08, Petalostemum purpureum          ,2
E244,2008,17,Control,15-Oct-08, Petalostemum villosum           ,25
E244,2008,17,Control,15-Oct-08, Schizachyrium scoparium         ,14
E244,2008,17,Control,15-Oct-08, Solidago rigida                 ,3
E244,2008,17,Control,15-Oct-08, Stipa spartea                   ,1
E244,2008,18,SoilDrenchFungicide,15-Oct-08, Andropogon gerardi              ,2
E244,2008,18,SoilDrenchFungicide,15-Oct-08, Bare ground                     ,29.5
E244,2008,18,SoilDrenchFungicide,15-Oct-08, Bouteloua gracilis              ,12
E244,2008,18,SoilDrenchFungicide,15-Oct-08, Coreopsis palmata               ,0.5
E244,2008,18,SoilDrenchFungicide,15-Oct-08, Liatris aspera                  ,12
E244,2008,18,SoilDrenchFungicide,15-Oct-08, Lupinus perennis                ,5
E244,2008,18,SoilDrenchFungicide,15-Oct-08, Petalostemum villosum           ,6
E244,2008,18,SoilDrenchFungicide,15-Oct-08, Schizachyrium scoparium         ,14
E244,2008,18,SoilDrenchFungicide,15-Oct-08, Solidago nemoralis              ,18
E244,2008,18,SoilDrenchFungicide,15-Oct-08, Sporobolus sp.                  ,1
E244,2008,19,Insecticide,15-Oct-08, Achillea millefolium(lanulosa)  ,4
E244,2008,19,Insecticide,15-Oct-08, Andropogon gerardi              ,1
E244,2008,19,Insecticide,15-Oct-08, Bare ground                     ,29
E244,2008,19,Insecticide,15-Oct-08, Bouteloua gracilis              ,18
E244,2008,19,Insecticide,15-Oct-08, Lespedeza capitata              ,4
E244,2008,19,Insecticide,15-Oct-08, Liatris aspera                  ,3
E244,2008,19,Insecticide,15-Oct-08, Monarda fistulosa               ,6
E244,2008,19,Insecticide,15-Oct-08, Petalostemum purpureum          ,4
E244,2008,19,Insecticide,15-Oct-08, Petalostemum villosum           ,5
E244,2008,19,Insecticide,15-Oct-08, Schizachyrium scoparium         ,15
E244,2008,19,Insecticide,15-Oct-08, Solidago nemoralis              ,6
E244,2008,19,Insecticide,15-Oct-08, Solidago rigida                 ,5
E244,2008,20,AllPesticides,15-Oct-08, Baptisia leucantha              ,12
E244,2008,20,AllPesticides,15-Oct-08, Bare ground                     ,24
E244,2008,20,AllPesticides,15-Oct-08, Bouteloua gracilis              ,16
E244,2008,20,AllPesticides,15-Oct-08, Coreopsis palmata               ,1
E244,2008,20,AllPesticides,15-Oct-08, Koeleria cristata               ,2
E244,2008,20,AllPesticides,15-Oct-08, Lespedeza capitata              ,3
E244,2008,20,AllPesticides,15-Oct-08, Liatris aspera                  ,1
E244,2008,20,AllPesticides,15-Oct-08, Lupinus perennis                ,2
E244,2008,20,AllPesticides,15-Oct-08, Petalostemum purpureum          ,14
E244,2008,20,AllPesticides,15-Oct-08, Petalostemum villosum           ,4
E244,2008,20,AllPesticides,15-Oct-08, Schizachyrium scoparium         ,15
E244,2008,20,AllPesticides,15-Oct-08, Solidago nemoralis              ,4
E244,2008,20,AllPesticides,15-Oct-08, Trifolium sp.                   ,2
E244,2008,21,FoliarFungicide,15-Oct-08, Andropogon gerardi              ,10
E244,2008,21,FoliarFungicide,15-Oct-08, Bare ground                     ,28
E244,2008,21,FoliarFungicide,15-Oct-08, Lespedeza capitata              ,4
E244,2008,21,FoliarFungicide,15-Oct-08, Liatris aspera                  ,6
E244,2008,21,FoliarFungicide,15-Oct-08, Lupinus perennis                ,8
E244,2008,21,FoliarFungicide,15-Oct-08, Panicum sp.                     ,1
E244,2008,21,FoliarFungicide,15-Oct-08, Poa pratensis                   ,20
E244,2008,21,FoliarFungicide,15-Oct-08, Schizachyrium scoparium         ,8
E244,2008,21,FoliarFungicide,15-Oct-08, Solidago rigida                 ,15
E244,2008,22,SoilDrenchFungicide,15-Oct-08, Amorpha canescens               ,10
E244,2008,22,SoilDrenchFungicide,15-Oct-08, Andropogon gerardi              ,25
E244,2008,22,SoilDrenchFungicide,15-Oct-08, Bare ground                     ,27
E244,2008,22,SoilDrenchFungicide,15-Oct-08, Lespedeza capitata              ,2
E244,2008,22,SoilDrenchFungicide,15-Oct-08, Liatris aspera                  ,3
E244,2008,22,SoilDrenchFungicide,15-Oct-08, Lupinus perennis                ,8
E244,2008,22,SoilDrenchFungicide,15-Oct-08, Poa pratensis                   ,6
E244,2008,22,SoilDrenchFungicide,15-Oct-08, Schizachyrium scoparium         ,15
E244,2008,22,SoilDrenchFungicide,15-Oct-08, Stipa spartea                   ,4
E244,2008,23,AllPesticides,15-Oct-08, Achillea millefolium(lanulosa)  ,1
E244,2008,23,AllPesticides,15-Oct-08, Andropogon gerardi              ,18
E244,2008,23,AllPesticides,15-Oct-08, Bare ground                     ,32
E244,2008,23,AllPesticides,15-Oct-08, Lespedeza capitata              ,3
E244,2008,23,AllPesticides,15-Oct-08, Liatris aspera                  ,12
E244,2008,23,AllPesticides,15-Oct-08, Poa pratensis                   ,18
E244,2008,23,AllPesticides,15-Oct-08, Schizachyrium scoparium         ,16
E244,2008,24,Control,15-Oct-08, Achillea millefolium(lanulosa)  ,2
E244,2008,24,Control,15-Oct-08, Andropogon gerardi              ,8
E244,2008,24,Control,15-Oct-08, Bare ground                     ,26
E244,2008,24,Control,15-Oct-08, Lespedeza capitata              ,5
E244,2008,24,Control,15-Oct-08, Liatris aspera                  ,4
E244,2008,24,Control,15-Oct-08, Lupinus perennis                ,10
E244,2008,24,Control,15-Oct-08, Poa pratensis                   ,25
E244,2008,24,Control,15-Oct-08, Schizachyrium scoparium         ,20
E244,2008,25,Insecticide,15-Oct-08, Achillea millefolium(lanulosa)  ,1
E244,2008,25,Insecticide,15-Oct-08, Andropogon gerardi              ,6
E244,2008,25,Insecticide,15-Oct-08, Bare ground                     ,47
E244,2008,25,Insecticide,15-Oct-08, Lespedeza capitata              ,2
E244,2008,25,Insecticide,15-Oct-08, Lupinus perennis                ,5
E244,2008,25,Insecticide,15-Oct-08, Panicum sp.                     ,2
E244,2008,25,Insecticide,15-Oct-08, Poa pratensis                   ,15
E244,2008,25,Insecticide,15-Oct-08, Schizachyrium scoparium         ,20
E244,2008,25,Insecticide,15-Oct-08, Taraxicum officinalis           ,2
E244,2008,26,AllPesticides,15-Oct-08, Agropyron repens                ,18
E244,2008,26,AllPesticides,15-Oct-08, Bare ground                     ,35
E244,2008,26,AllPesticides,15-Oct-08, Bouteloua gracilis              ,6
E244,2008,26,AllPesticides,15-Oct-08, Grasses                         ,19
E244,2008,26,AllPesticides,15-Oct-08, Lespedeza capitata              ,1
E244,2008,26,AllPesticides,15-Oct-08, Lupinus perennis                ,4
E244,2008,26,AllPesticides,15-Oct-08, Miscellaneous herbs             ,6
E244,2008,26,AllPesticides,15-Oct-08, Rumex acetosella                ,6
E244,2008,26,AllPesticides,15-Oct-08, Taraxicum officinalis           ,5
E244,2008,27,SoilDrenchFungicide,15-Oct-08, Agropyron repens                ,18
E244,2008,27,SoilDrenchFungicide,15-Oct-08, Bare ground                     ,42
E244,2008,27,SoilDrenchFungicide,15-Oct-08, Grasses                         ,3
E244,2008,27,SoilDrenchFungicide,15-Oct-08, Lupinus perennis                ,7
E244,2008,27,SoilDrenchFungicide,15-Oct-08, Miscellaneous herbs             ,13
E244,2008,27,SoilDrenchFungicide,15-Oct-08, Rumex acetosella                ,11
E244,2008,27,SoilDrenchFungicide,15-Oct-08, Taraxicum officinalis           ,6
E244,2008,28,Insecticide,15-Oct-08, Agropyron repens                ,21
E244,2008,28,Insecticide,15-Oct-08, Bare ground                     ,40.5
E244,2008,28,Insecticide,15-Oct-08, Lupinus perennis                ,16
E244,2008,28,Insecticide,15-Oct-08, Miscellaneous herbs             ,11
E244,2008,28,Insecticide,15-Oct-08, Silene sp.                      ,0.5
E244,2008,28,Insecticide,15-Oct-08, Taraxicum officinalis           ,11
E244,2008,29,Control,15-Oct-08, Agropyron repens                ,3
E244,2008,29,Control,15-Oct-08, Bare ground                     ,48
E244,2008,29,Control,15-Oct-08, Grasses                         ,14
E244,2008,29,Control,15-Oct-08, Lespedeza capitata              ,1
E244,2008,29,Control,15-Oct-08, Miscellaneous herbs             ,16
E244,2008,29,Control,15-Oct-08, Rumex acetosella                ,8
E244,2008,29,Control,15-Oct-08, Taraxicum officinalis           ,7
E244,2008,29,Control,15-Oct-08, Verbascum thapsus               ,3
E244,2008,30,FoliarFungicide,15-Oct-08, Bare ground                     ,52
E244,2008,30,FoliarFungicide,15-Oct-08, Berteroa incana                 ,2
E244,2008,30,FoliarFungicide,15-Oct-08, Grasses                         ,12
E244,2008,30,FoliarFungicide,15-Oct-08, Koeleria cristata               ,2
E244,2008,30,FoliarFungicide,15-Oct-08, Miscellaneous herbs             ,8
E244,2008,30,FoliarFungicide,15-Oct-08, Rumex acetosella                ,6
E244,2008,30,FoliarFungicide,15-Oct-08, Solidago rigida                 ,6
E244,2008,30,FoliarFungicide,15-Oct-08, Taraxicum officinalis           ,4
E244,2008,30,FoliarFungicide,15-Oct-08, Trifolium sp.                   ,8
E244,2008,31,SoilDrenchFungicide,20-Oct-08, Amorpha canescens               ,12
E244,2008,31,SoilDrenchFungicide,20-Oct-08, Bare ground                     ,25
E244,2008,31,SoilDrenchFungicide,20-Oct-08, Bouteloua gracilis              ,15
E244,2008,31,SoilDrenchFungicide,20-Oct-08, Lespedeza capitata              ,3
E244,2008,31,SoilDrenchFungicide,20-Oct-08, Lupinus perennis                ,20
E244,2008,31,SoilDrenchFungicide,20-Oct-08, Petalostemum purpureum          ,5
E244,2008,31,SoilDrenchFungicide,20-Oct-08, Schizachyrium scoparium         ,20
E244,2008,32,Control,20-Oct-08, Bare ground                     ,25
E244,2008,32,Control,20-Oct-08, Bouteloua gracilis              ,26
E244,2008,32,Control,20-Oct-08, Lespedeza capitata              ,3
E244,2008,32,Control,20-Oct-08, Lupinus perennis                ,4
E244,2008,32,Control,20-Oct-08, Petalostemum purpureum          ,12
E244,2008,32,Control,20-Oct-08, Poa pratensis                   ,5
E244,2008,32,Control,20-Oct-08, Schizachyrium scoparium         ,23
E244,2008,32,Control,20-Oct-08, Solidago nemoralis              ,2
E244,2008,33,FoliarFungicide,20-Oct-08, Amorpha canescens               ,8
E244,2008,33,FoliarFungicide,20-Oct-08, Andropogon gerardi              ,3
E244,2008,33,FoliarFungicide,20-Oct-08, Bare ground                     ,17
E244,2008,33,FoliarFungicide,20-Oct-08, Bouteloua gracilis              ,12
E244,2008,33,FoliarFungicide,20-Oct-08, Coreopsis palmata               ,1
E244,2008,33,FoliarFungicide,20-Oct-08, Lespedeza capitata              ,1
E244,2008,33,FoliarFungicide,20-Oct-08, Liatris aspera                  ,8
E244,2008,33,FoliarFungicide,20-Oct-08, Lupinus perennis                ,20
E244,2008,33,FoliarFungicide,20-Oct-08, Panicum oligosanthes            ,1
E244,2008,33,FoliarFungicide,20-Oct-08, Petalostemum purpureum          ,3
E244,2008,33,FoliarFungicide,20-Oct-08, Petalostemum villosum           ,1
E244,2008,33,FoliarFungicide,20-Oct-08, Schizachyrium scoparium         ,18
E244,2008,33,FoliarFungicide,20-Oct-08, Solidago nemoralis              ,4
E244,2008,33,FoliarFungicide,20-Oct-08, Solidago rigida                 ,3
E244,2008,34,AllPesticides,20-Oct-08, Andropogon gerardi              ,10
E244,2008,34,AllPesticides,20-Oct-08, Bare ground                     ,12
E244,2008,34,AllPesticides,20-Oct-08, Bouteloua gracilis              ,20
E244,2008,34,AllPesticides,20-Oct-08, Lespedeza capitata              ,5
E244,2008,34,AllPesticides,20-Oct-08, Lupinus perennis                ,15
E244,2008,34,AllPesticides,20-Oct-08, Petalostemum purpureum          ,1
E244,2008,34,AllPesticides,20-Oct-08, Poa pratensis                   ,3
E244,2008,34,AllPesticides,20-Oct-08, Schizachyrium scoparium         ,28
E244,2008,34,AllPesticides,20-Oct-08, Solidago nemoralis              ,6
E244,2008,35,Insecticide,20-Oct-08, Achillea millefolium(lanulosa)  ,2
E244,2008,35,Insecticide,20-Oct-08, Amorpha canescens               ,14
E244,2008,35,Insecticide,20-Oct-08, Andropogon gerardi              ,5
E244,2008,35,Insecticide,20-Oct-08, Bare ground                     ,20
E244,2008,35,Insecticide,20-Oct-08, Bouteloua gracilis              ,12
E244,2008,35,Insecticide,20-Oct-08, Coreopsis palmata               ,1
E244,2008,35,Insecticide,20-Oct-08, Lespedeza capitata              ,2
E244,2008,35,Insecticide,20-Oct-08, Monarda fistulosa               ,6
E244,2008,35,Insecticide,20-Oct-08, Petalostemum purpureum          ,3
E244,2008,35,Insecticide,20-Oct-08, Schizachyrium scoparium         ,20
E244,2008,35,Insecticide,20-Oct-08, Solidago nemoralis              ,15
E244,2008,36,AllPesticides,20-Oct-08, Amorpha canescens               ,20
E244,2008,36,AllPesticides,20-Oct-08, Bare ground                     ,25
E244,2008,36,AllPesticides,20-Oct-08, Bouteloua gracilis              ,12
E244,2008,36,AllPesticides,20-Oct-08, Koeleria cristata               ,4
E244,2008,36,AllPesticides,20-Oct-08, Petalostemum purpureum          ,4
E244,2008,36,AllPesticides,20-Oct-08, Poa pratensis                   ,8
E244,2008,36,AllPesticides,20-Oct-08, Schizachyrium scoparium         ,27
E244,2008,37,Control,20-Oct-08, Amorpha canescens               ,10
E244,2008,37,Control,20-Oct-08, Bare ground                     ,26
E244,2008,37,Control,20-Oct-08, Koeleria cristata               ,5
E244,2008,37,Control,20-Oct-08, Lupinus perennis                ,10
E244,2008,37,Control,20-Oct-08, Petalostemum purpureum          ,10
E244,2008,37,Control,20-Oct-08, Poa pratensis                   ,12
E244,2008,37,Control,20-Oct-08, Schizachyrium scoparium         ,27
E244,2008,38,SoilDrenchFungicide,20-Oct-08, Amorpha canescens               ,5
E244,2008,38,SoilDrenchFungicide,20-Oct-08, Bare ground                     ,28
E244,2008,38,SoilDrenchFungicide,20-Oct-08, Bouteloua gracilis              ,2
E244,2008,38,SoilDrenchFungicide,20-Oct-08, Koeleria cristata               ,3
E244,2008,38,SoilDrenchFungicide,20-Oct-08, Lupinus perennis                ,10
E244,2008,38,SoilDrenchFungicide,20-Oct-08, Petalostemum purpureum          ,7
E244,2008,38,SoilDrenchFungicide,20-Oct-08, Poa pratensis                   ,10
E244,2008,38,SoilDrenchFungicide,20-Oct-08, Schizachyrium scoparium         ,35
E244,2008,39,Insecticide,20-Oct-08, Achillea millefolium(lanulosa)  ,2
E244,2008,39,Insecticide,20-Oct-08, Andropogon gerardi              ,5
E244,2008,39,Insecticide,20-Oct-08, Bare ground                     ,12
E244,2008,39,Insecticide,20-Oct-08, Liatris aspera                  ,7
E244,2008,39,Insecticide,20-Oct-08, Lupinus perennis                ,7
E244,2008,39,Insecticide,20-Oct-08, Petalostemum purpureum          ,12
E244,2008,39,Insecticide,20-Oct-08, Poa pratensis                   ,13
E244,2008,39,Insecticide,20-Oct-08, Schizachyrium scoparium         ,37
E244,2008,39,Insecticide,20-Oct-08, Solidago rigida                 ,5
E244,2008,40,FoliarFungicide,20-Oct-08, Amorpha canescens               ,7
E244,2008,40,FoliarFungicide,20-Oct-08, Andropogon gerardi              ,13
E244,2008,40,FoliarFungicide,20-Oct-08, Bare ground                     ,11
E244,2008,40,FoliarFungicide,20-Oct-08, Liatris aspera                  ,3
E244,2008,40,FoliarFungicide,20-Oct-08, Lupinus perennis                ,7
E244,2008,40,FoliarFungicide,20-Oct-08, Petalostemum purpureum          ,17
E244,2008,40,FoliarFungicide,20-Oct-08, Poa pratensis                   ,13
E244,2008,40,FoliarFungicide,20-Oct-08, Schizachyrium scoparium         ,20
E244,2008,40,FoliarFungicide,20-Oct-08, Solidago rigida                 ,4
E244,2008,40,FoliarFungicide,20-Oct-08, Sorghastrum nutans              ,5
E244,2008,41,Insecticide,20-Oct-08, Andropogon gerardi              ,45
E244,2008,41,Insecticide,20-Oct-08, Bare ground                     ,51
E244,2008,41,Insecticide,20-Oct-08, Bouteloua gracilis              ,1
E244,2008,41,Insecticide,20-Oct-08, Schizachyrium scoparium         ,3
E244,2008,42,AllPesticides,20-Oct-08, Andropogon gerardi              ,28
E244,2008,42,AllPesticides,20-Oct-08, Bare ground                     ,71
E244,2008,42,AllPesticides,20-Oct-08, Bouteloua gracilis              ,1
E244,2008,43,FoliarFungicide,20-Oct-08, Andropogon gerardi              ,20
E244,2008,43,FoliarFungicide,20-Oct-08, Bare ground                     ,72
E244,2008,43,FoliarFungicide,20-Oct-08, Schizachyrium scoparium         ,8
E244,2008,44,Control,20-Oct-08, Achillea millefolium(lanulosa)  ,0.5
E244,2008,44,Control,20-Oct-08, Andropogon gerardi              ,2.5
E244,2008,44,Control,20-Oct-08, Bare ground                     ,80
E244,2008,44,Control,20-Oct-08, Lespedeza capitata              ,2
E244,2008,44,Control,20-Oct-08, Lupinus perennis                ,1
E244,2008,44,Control,20-Oct-08, Schizachyrium scoparium         ,14
E244,2008,45,SoilDrenchFungicide,20-Oct-08, Achillea millefolium(lanulosa)  ,1
E244,2008,45,SoilDrenchFungicide,20-Oct-08, Andropogon gerardi              ,2
E244,2008,45,SoilDrenchFungicide,20-Oct-08, Bare ground                     ,75
E244,2008,45,SoilDrenchFungicide,20-Oct-08, Miscellaneous herbs             ,2
E244,2008,45,SoilDrenchFungicide,20-Oct-08, Schizachyrium scoparium         ,20
